id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,int_name_ht,int_name_info,int_name_CLEAN,int_desc_ht,int_desc_info,int_desc_CLEAN,int_objec_ht,int_objec_info,int_objec_CLEAN,int_prov_raw,int_prov_ht,int_prov_info,int_prov_CLEAN,int_training_raw,int_training_ht,int_training_info,int_training_CLEAN,int_part_raw,int_part_ht,int_part_info,int_part_CLEAN,int_approach_raw,int_approach_ht,int_approach_info,int_approach_CLEAN,digit_tech_raw,digit_tech_ht,digit_tech_info,digital_tech_CLEAN,parent_partic_raw,parent_partic_ht,parent_partic_info,parent_partic_CLEAN,int_when_raw,int_when_ht,int_when_info,int_when_CLEAN,int_who_raw,int_who_ht,int_who_info,int_who_CLEAN,int_dur_ht,int_dur_info,int_dur_CLEAN,int_freq_ht,int_freq_info,int_freq_CLEAN,int_leng_ht,int_leng_info,int_leng_CLEAN,int_fidel_raw,int_fidel_ht,int_fidel_info,int_fidel_CLEAN,int_cost_raw,int_cost_ht,int_cost_info,int_cost_CLEAN,out_eval_raw,out_eval_ht,out_eval_info,out_eval_CLEAN,eef_eval_raw,eef_eval_CLEAN,base_diff_raw,base_diff_ht,base_diff_info,base_diff_CLEAN,comp_anal_raw,comp_anal_ht,comp_anal_info,comp_anal_CLEAN,comp_var_rep_raw,comp_var_rep_ht,comp_var_rep_info,comp_var_rep_CLEAN,comp_var_raw,comp_var_ht,comp_var_info,comp_var_CLEAN,clust_anal_raw,clust_anal_ht,clust_anal_info,clust_anal_CLEAN
53901268,Attanasio (2004),2004,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902806,Attanasio (2005),2005,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901226,Attanasio (2010),2010,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901986,Attanasio (2011),2011,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901698,Baez (2013),2013,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901340,Baird (2011),2011,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901799,Baird (2013),2013,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901228,Baird 1_1 (2009),2009,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901505,Baird 1_2(2009),2009,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901982,Barham (2012),2012,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901992,Behrman (2000),2000,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901232,Behrman (2004),2004,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901230,Behrman (2005),2005,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901231,Behrman (2005),2005,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901991,Behrman (2005),2005,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901359,Behrman (2011),2011,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901705,Behrman (2012),2012,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901706,Benedetti (2016),2016,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901088,Benhassine (2015),2015,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902083,Berg (2013),2013,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901233,Borraz (2009),2009,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902678,Bradford (2009),2009,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902862,Cameron (2002),2002,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901235,Cardoso (2004),2004,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
54091333,Case (2005),2005,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902680,Chang-Keun (2012),2012,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901710,Chaudhury (2013),2013,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901849,Chaudhury (2013),2013,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902002,Coetzee (2011),2011,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901238,Dammert (2009),2009,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902005,Davis (2002),2002,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901713,de Brauw (2015),2015,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901998,De Carvalho (2012),2012,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902561,de Hoop (2019),2019,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901240,De Janvry (2006),2006,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902101,Dearden (2005),2005,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902546,Do conditional cash... (Gaentzsch),    ,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901818,Dubois (2012),2012,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901242,Duryea (2011),2011,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902109,Edo (2017),2017,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902569,Edo (2019),2019,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53902690,Fenton (2016) 1_1,2016,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
58963895,Fenton (2016) 1_2,2016,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
53901624,Figueroa (2014),2014,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,No,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,
