id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16,out_type_17,out_label_17,out_tit_17,out_type_18,out_label_18,out_tit_18,out_type_19,out_label_19,out_tit_19,out_type_20,out_label_20,out_tit_20
38224286,Chen (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224148,Cohen (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension test ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224171,Collings (1994),['Other outcome'],Primary outcome,Science reasoning Study 3 Exp gp 1,['Other outcome'],Primary outcome,Science reasoning Study 3 Exp gp 2a,['Other outcome'],Secondary outcome(s),Group Embedded Figures Test Study 3 Exp gp 1,['Other outcome'],Primary outcome,Science reasoning Study 1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science reasoning Stud1+2+3 combined,['Other outcome'],Primary outcome,Science reasoning Stud1+2+3 combined (authors'),['Other outcome'],Secondary outcome(s),Group Embedded Figures Test Study 1,['Other outcome'],Secondary outcome(s),Group Embedded Figures Test Study 3 Exp gp 2a,['Other outcome'],Secondary outcome(s),Group Embedded Figures Test Study 3 Exp gp 2b,['Other outcome'],Primary outcome,Science reasoning Study 2 Exp gp 1,['Other outcome'],Primary outcome,Science reasoning Study 2 Exp gp 2,['Other outcome'],Secondary outcome(s),Group Embedded Figures Test Study 2 Exp gp 1,['Other outcome'],Secondary outcome(s),Group Embedded Figures Test Study 2 Exp gp 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296678,Crawford (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Collaborative Learning - reading comprehension ART,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224172,Csapó (1992),['Other outcome'],Primary outcome,Combinative reasoning (4th grade grammar),['Other outcome'],Primary outcome,Combinative reasoning (4th grade science),['Other outcome'],Primary outcome,Combinative reasoning (7th grade chemistry),['Other outcome'],Primary outcome,Combinative reasoning (7th grade physics),['Other outcome'],Primary outcome,Combinative reasoning (7th grade chemistry & physics),['Other outcome'],Primary outcome,Combinative reasoning (4th grade grammar & science),['Other outcome'],Secondary outcome(s),Logical reasoning (4th grade grammar),['Other outcome'],Secondary outcome(s),Systematizing (4th grade grammar),['Other outcome'],Secondary outcome(s),Systematizing (4th grade science),['Science primary outcome'],Primary outcome,Overall Science ES - all primary Science Combative outcomes,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Overall ES for all primary Combinative outcomes,['Other outcome'],Secondary outcome(s),Logical reasoning (4th grade science),['Other outcome'],Secondary outcome(s),Logical reasoning (7th grade chemistry and physics),['Other outcome'],Secondary outcome(s),Systematizing (7th grade chemistry),['Other outcome'],Secondary outcome(s),Logical reasoning (4th grade grammar & science),['Other outcome'],Secondary outcome(s),Systematizing (4th grade grammar & science),['Other outcome'],Secondary outcome(s),Systematizing (7th grade physics),['Other outcome'],Secondary outcome(s),Systematizing (7th grade chemistry & physics),['Other outcome'],Secondary outcome(s),Logical reasoning (7th grade chemistry) ,['Other outcome'],Secondary outcome(s),Logical reasoning (7th grade physics) 
38223844,Curtis (1980),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Critical thinking - metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223945,Davey (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehensive Questions (NQC vs GP) - inferential ques. ,['Other outcome'],Secondary outcome(s),Comprehension Questions (literal),['Other outcome'],Secondary outcome(s),Question-Generation Skill (quality) NQC vs GP,['Other outcome'],Secondary outcome(s),Question-Generation Skill (form) NQC vs GP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224174,De Koning (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224206,de Koning (2002),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Raven’s Standard Progressive Matrices,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223986,Dejonckheere (2002) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Problem solving,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
