id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
47269810,Gregory (1976) FB 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Achievement score,['Other outcome'],Secondary outcome(s),Achievement gain score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092582,Guastello (2001) FB,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,VERB Phase 3 Writing - Revised Composition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092655,Hanna (1976),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,"SCORE Science, Arithmetic and Social Studies Tests",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091033,Haring (1975),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,VERB Wide Range Achievement Test (WRAT) - Reading Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47516029,Hillocks (1982),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Student Writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092584,Holman (2011),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,DIG Tennessee Comprehensive Assessment Program (TCAP),['Other outcome'],SES/FSM outcome,DIG Low SES Tennessee Comprehensive Assessment Program (TCAP) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092768,Hughes (1973),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,VERB Science content test ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46887933,Hwang (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Post test evaluation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061115,Jacobs (1966),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,CORR/INCORR Solving Equations,['Other outcome'],Secondary outcome(s),CORR/INCORR Gas Laws - High School A,['Other outcome'],Secondary outcome(s),CORR/INCORR Gas Laws - High School B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092585,Jewell (2003),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TEACH The Illinois Standards Achievement Test (ISAT),['Other outcome'],Secondary outcome(s),TEACH Group 2: The Illinois Standards Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47516037,Johansen (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Correct Scores on Unit Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269821,Khine (1996) FB 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269822,Khine (1996) FB 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Postest no feedback v elaborative feedback,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
