id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
50752656,Fuchs (2019),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension (DF & DF+COMP vs control) - One-to-One tuition,['Other outcome'],Secondary outcome(s),TOWRE Sight Word Efficiency  (DF & DF+COMP vs control)- One-to-One Tuition,['Other outcome'],Secondary outcome(s),TOWRE Phonemic Decoding Efficiency (DF & DF+COMP vs control) - One-to-one tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717114,Gardner (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MIRA Comprehension (RR vs Next tier) Post test only,['Other outcome'],Secondary outcome(s),Neale Comprehension-RR vs Next Tier (Post test only),['Other outcome'],Secondary outcome(s),MIRA Accuracy (RR vs Next tier) Post test only,['Other outcome'],Secondary outcome(s),Neale Accuracy (RR vs Next tier) Post test only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49769753,Gilbert (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Identification,['Other outcome'],Primary outcome,Word Attack,['Other outcome'],Secondary outcome(s),Phonemic Decoding Efficiency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336738,Golton (1975) 1:1,['Other outcome'],Secondary outcome(s),Test on Comprehension & Application of Probability and Stats (Posttest means/SDs),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Test of Knowledge of probability & Stats ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296617,Gorard (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GL New Group Reading Test,['Other outcome'],SES/FSM outcome,GL New Group Reading Test FSM,['Other outcome'],Secondary outcome(s),GL New Group Reading Test SEN,['Other outcome'],Secondary outcome(s),GL New Group Reading Test  Low Achievers ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671558,Gray (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Performance-One on one tuition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717134,Hagin (1978),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT - Oral Reading (F-test),['Other outcome'],Secondary outcome(s),WRMT - Word Identification (F-test),['Other outcome'],Secondary outcome(s),WRMT - Word Attack (F-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717198,Hatcher (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,R+P vs Control - Neale Comprehension,['Other outcome'],Secondary outcome(s),R Alone vs Control - Neale Comprehension,['Other outcome'],Secondary outcome(s),P Alone vs Control - Neale Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39717135,Hedrick (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,District wide reading assessment - combined Cohort 1 and 2,['Other outcome'],Secondary outcome(s),District wide reading assessment - Cohort 1 ,['Other outcome'],Secondary outcome(s),District wide reading assessment - Cohort 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50752663,Hickey (2019),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Letter Word Identification,['Other outcome'],Primary outcome,Reading Fluency,['Other outcome'],Primary outcome,Passage Comprehension,['Mathematics primary outcome'],Secondary outcome(s),Calculation,['Other outcome'],Secondary outcome(s),Applied Problems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
