id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
39253394,Schacter (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension (Table 3),['Other outcome'],Primary outcome,Comprehension (adj Table 4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253304,Seward (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test III (PPVT III),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134828,Shelton (1997),"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",Primary outcome,GPA (f-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296692,Torgerson (2014),NA,Primary outcome,Writing,"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Reading,NA,Secondary outcome(s),Spelling & Grammar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253235,Tyler (1966),['Other outcome'],Secondary outcome(s),California achievement test -Grade 4,['Other outcome'],Secondary outcome(s),California achievement test -Grade 5,['Other outcome'],Secondary outcome(s),California achievement test -Grade 6,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,California achievement test -Grades combined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253306,Ugel (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gray Oral Reading Test-Third Edition (Comprehension Score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253308,Waters (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,The Developmental Reading Assessment (2002 Cohort),['Other outcome'],Secondary outcome(s),The Developmental Reading Assessment (2003 Cohort),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253240,Williams (1977),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SRA - Reading Comprehension (posttest only),['Other outcome'],Secondary outcome(s),SRA - Reading Vocabulory (posttest only),['Other outcome'],Secondary outcome(s),SRA - Total Reading Scores (Posttest only),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253241,Winston (1963),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,STEP Language Arts,['Science primary outcome'],Secondary outcome(s),STEP Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253243,Womble (1977),['Other outcome'],Primary outcome,SAT 4th Grade Reading Postest SeptSummer School v control,['Other outcome'],Primary outcome,SAT  4th Grade Maths Postest Sept Summer School v control,['Other outcome'],Primary outcome,SAT 8th Grade Maths Postest Sept Summer School v control,['Other outcome'],Primary outcome,SAT  8th Grade Reading Postest Sept Summer School v control,['Reading primary outcome'],Primary outcome,Overall ES- SAT 4th&8th Grade Reading Postest Sept,['Mathematics primary outcome'],Primary outcome,Overall ES- SAT 4th&8th Grade Maths Postest Sept,['Toolkit primary outcome'],Primary outcome,Overall ES (combined grade and subjects),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253343,Zia (1999),['Other outcome'],Primary outcome,ISM 3rd Grade Summer School v control,['Other outcome'],Primary outcome,ISM 4th Grade Summer School v control,['Other outcome'],Primary outcome,ISM 5th Grade Summer School v control,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,"Overall ES: ISM 3rd, 4th & 5th Grade Summer School v control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253395,Zvoch (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),TORF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253396,Zvoch (2013),['Other outcome'],Secondary outcome(s),DIBELS (NWF)-Kindergarten (gain score),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TORF-Grade 1 (Gain score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
