id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
41661085,Peterson (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Interaction of Matter and Energy Achievement Test,['Other outcome'],Secondary outcome(s),Intelligence Quotients of Students,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661374,Przekop (1969),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Achievement Test Score (Biology),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49769697,Puntambekar (2003),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Knowledge Test (Essay),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Knowledge Test (Facts),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661167,Putbrese (1971),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,IOWA Test of Basic Skills (Individualized vs Whole Group),['Other outcome'],Secondary outcome(s),May Evaluation (Individualized vs Whole Group),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661234,Radwan (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths Scores Overall posttest adjusted for IQ (table 4.9),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661376,Reed (1974),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Stanford Achievement Test: Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661013,Ritter (1975),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,BSCS Final Form K (Post test),['Other outcome'],Secondary outcome(s),Process of Science Test Form A ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661237,Ritter (2007),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ETS Algebra I exam (ETS Scaled Scores),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661118,Roebuck (1970),"['Toolkit primary outcome', 'Science primary outcome']",,Physics Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661278,Sarkis (2004),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Florida Comprehensive Assessment Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
