n_treat_ht,n_treat_info,Intervention_Group_Pre-test_Mean_HT,Intervention_Group_Pre-test_Mean_comments,Intervention_Group_Pre-test_SD_HT,Intervention_Group_Pre-test_SD_comments,Intervention_Group_Post-test_Mean_HT,Intervention_Group_Post-test_Mean_comments,Intervention_Group_Post-test_SD_HT,Intervention_Group_Post-test_SD_comments,Intervention_Group_Gain_Score_Mean_HT,Intervention_Group_Gain_Score_Mean_comments,Intervention_Group_Gain_Score_SD_HT,Intervention_Group_Gain_Score_SD_comments,Intervention_Group_Other_Info_HT,Intervention_Group_Other_Info_comments
"['Page 6:\n[¬s]""15[¬e]""']",15,"['Page 6:\n[¬s]""3.170[¬e]""']",3.170,"['Page 7:\n[¬s]""0.596[¬e]""']",0.596,"['Page 6:\n[¬s]""3.359[¬e]""']",3.359,"['Page 7:\n[¬s]""0.646[¬e]""']",0.646,NA,NA,NA,NA,NA,NA
"['Page 7:\n[¬s]""25[¬e]""']",25,"['Page 7:\n[¬s]""3.220[¬e]""']",3.220,"['Page 7:\n[¬s]""0.738[¬e]""']",0.738,"['Page 7:\n[¬s]""4.043[¬e]""']",4.043,"['Page 7:\n[¬s]""0.548[¬e]""']",0.548,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""34)[¬e]""']",NA,"['Page 5:\n[¬s]""9.11 [¬e]""']",9.11,"['Page 5:\n[¬s]""2.31 [¬e]""']",2.31,"['Page 5:\n[¬s]""10.29 [¬e]""']",10.29,"['Page 5:\n[¬s]""1.62 [¬e]""']",1.62,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,12,NA,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 6:\n[¬s]""20[¬e]""']",20,"['Page 6:\n[¬s]""23.75[¬e]""']",23.75,"['Page 6:\n[¬s]""8.27[¬e]""']",8.27,"['Page 6:\n[¬s]""25.80[¬e]""']",25.80,"['Page 6:\n[¬s]""5.94[¬e]""']",5.94,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,46,NA,2.84,NA,1.09,NA,3.33,NA,1.35,NA,NA,NA,NA,NA,NA
NA,44,"['Page 10:\n[¬s]""2.84[¬e]""']",2.84,"['Page 10:\n[¬s]""1.09[¬e]""']",1.09,"['Page 10:\n[¬s]""3.49""\n""3.29[¬e]""']",3.29,"['Page 10:\n[¬s]""1.49[¬e]""']",1.49,NA,NA,NA,NA,NA,NA
"['Page 9:\n[¬s]""N=27[¬e]""']",27,NA,NA,NA,NA,"['Page 9:\n[¬s]"" 2.33[¬e]""']",2.33,"['Page 9:\n[¬s]""1.01[¬e]""']",1.01,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""TABLE I[¬e]""']",70,NA,NA,NA,NA,"['Page 4:\n[¬s]""TABLE I[¬e]""']",16.79,"['Page 4:\n[¬s]""TABLE I[¬e]""']",2.40,NA,NA,NA,NA,NA,NA
NA,70,NA,NA,NA,NA,"['Page 4:\n[¬s]""TABLE I[¬e]""']",18.54,"['Page 4:\n[¬s]""TABLE I[¬e]""']",2.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 23:\n[¬s]""709[¬e]""']",709,NA,NA,NA,NA,"['Page 23:\n[¬s]""100.86[¬e]""']",100.86,"['Page 23:\n[¬s]""14.35[¬e]""']",14.35,NA,NA,NA,NA,NA,NA
"['Page 37:\n[¬s]""multiple feedback group = 14 students[¬e]""']",10,"['Page 107:\n[¬s]""107.3[¬e]""']",107.3,"['Page 107:\n[¬s]""14.1[¬e]""']",14.1,"['Page 107:\n[¬s]""109.2[¬e]""']",109.2,"['Page 107:\n[¬s]""16.2[¬e]""']",16.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,"['Page 3:\n[¬s]""16.03 16.91[¬e]""']",16.483,"['Page 3:\n[¬s]""6.44 7.71[¬e]""']",7.026,NA,NA,NA,NA,NA,NA
NA,1830,NA,NA,NA,NA,"['Page 9:\n[¬s]""Students\ncompleting Cognitive Tutor scored significantly higher (279.1)[¬e]""']",279.1,NA,NA,NA,NA,NA,NA,NA,NA
NA,24,NA,NA,NA,NA,"['Page 4:\n[¬s]""14.04[¬e]""']",NA,"['Page 4:\n[¬s]""4.11[¬e]""']",NA,NA,NA,NA,NA,NA,NA
NA,11,"['Page 5:\n[¬s]""9.3[¬e]""']",9.3,"['Page 5:\n[¬s]""(1.1)[¬e]""']",1.1,"['Page 5:\n[¬s]""13.3[¬e]""']",13.3,"['Page 5:\n[¬s]""(1.2)[¬e]""']",1.2,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,15,NA,7.7,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""The experiment was run in six shifts of from eight to 10 children. Approxi\xad mately equal numbers of children from within each shift received each of the three conditions.[¬e]""']",17,"['Page 4:\n[¬s]""37[¬e]""']",37,NA,NA,"['Page 4:\n[¬s]""59[¬e]""']",59,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 8:\n[¬s]""Enhanced CPR + FB/C""\n""(n = 30)""\n""Enhanced CPR + FB/C""\n""( n = 29)[¬e]""']",59,NA,NA,NA,NA,"['Page 8:\n[¬s]"" 88.27""\n""85.28[¬e]""']",86.800,"['Page 8:\n[¬s]"" 9.86""\n"" 11.72.[¬e]""']",10.826,NA,NA,NA,NA,NA,NA
NA,52,"['Page 3:\n[¬s]""7.3[¬e]""']",7.3,"['Page 3:\n[¬s]""7.9[¬e]""']",7.9,"['Page 3:\n[¬s]""16.1[¬e]""']",16.1,"['Page 3:\n[¬s]""7.9[¬e]""']",7.9,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 92:\n[¬s]""387[¬e]""']",387,"['Page 92:\n[¬s]""17.27*[¬e]""']",17.27,"['Page 92:\n[¬s]""4.99[¬e]""']",4.99,"['Page 95:\n[¬s]""25.63[¬e]""']",25.63,NA,NA,"['Page 95:\n[¬s]""8.37[¬e]""']",8.37,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,244,"['Page 10:\n[¬s]""21.94[¬e]""']",21.94,"['Page 10:\n[¬s]""10.59[¬e]""']",10.59,"['Page 10:\n[¬s]""29.58[¬e]""']",29.58,"['Page 10:\n[¬s]""11.97[¬e]""']",11.97,NA,NA,NA,NA,NA,NA
NA,1351,"['Page 18:\n[¬s]""28.04[¬e]""']",28.04,"['Page 18:\n[¬s]""11.45[¬e]""']",11.45,"['Page 18:\n[¬s]""35.43[¬e]""']",35.43,"['Page 18:\n[¬s]""11.13[¬e]""']",11.13,NA,NA,NA,NA,NA,NA
NA,1222,"['Page 12:\n[¬s]""36.07[¬e]""']",36.07,"['Page 12:\n[¬s]""11.53[¬e]""']",11.53,"['Page 12:\n[¬s]""40.02[¬e]""']",40.02,"['Page 12:\n[¬s]""11.66[¬e]""']",11.66,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 62:\n[¬s]"" 8[¬e]""']",8,"['Page 62:\n[¬s]""23.5[¬e]""']",23.5,NA,NA,"['Page 62:\n[¬s]"" 28.19[¬e]""']",28.19,NA,NA,NA,NA,NA,NA,NA,NA
"['Page 62:\n[¬s]""9[¬e]""']",9,"['Page 62:\n[¬s]""26.67[¬e]""']",26.67,NA,NA,"['Page 62:\n[¬s]""29.72[¬e]""']",29.72,NA,NA,NA,NA,NA,NA,NA,NA
NA,53,NA,61.088,NA,15.193,NA,70.873,NA,13.782,NA,NA,NA,NA,NA,NA
NA,145,NA,14.22,NA,4.3,NA,22.92,NA,6.59,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
