n_treat_ht,n_treat_info,n_cont_ht,n_cont_info,n_treat2_ht,n_treat2_info,n_cont2_ht,n_cont2_info
NA,100,"['Page 4:\n[¬s]""98[¬e]""']",98,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,27,NA,25,NA,NA,NA,NA
"['Page 4:\n[¬s]""Table 2.-[¬e]""']",26,"['Page 4:\n[¬s]""Table 2.[¬e]""']",27,NA,NA,NA,NA
"['Page 302:\n[¬s]""97[¬e]""']",97,"['Page 302:\n[¬s]""70[¬e]""']",70,NA,NA,NA,NA
NA,389,NA,389,NA,NA,NA,NA
NA,24,NA,30,NA,NA,NA,NA
NA,33,"['Page 12:\n[¬s]""3[¬e]""']",33,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,82,NA,85,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 6:\n[¬s]""34[¬e]""']",34,"['Page 6:\n[¬s]""35[¬e]""']",35,NA,NA,NA,NA
NA,35,NA,36,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 80:\n[¬s]"" (n = 43) served as the treatment group[¬e]""']",43,"['Page 80:\n[¬s]""(n = 22) served as the control[¬e]""']",22,NA,NA,NA,NA
NA,947,NA,237,NA,NA,NA,NA
"['Page 4:\n[¬s]""groups of 15[¬e]""']",15,"['Page 4:\n[¬s]"" groups of 15[¬e]""']",15,NA,NA,NA,NA
NA,776,NA,816,NA,NA,NA,NA
"['Page 15:\n[¬s]""Group feedback (n = 32)[¬e]""']",32,"['Page 15:\n[¬s]""Control (n = 36)[¬e]""']",36,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 11:\n[¬s]""conText (N = 59)[¬e]""']",59,"['Page 11:\n[¬s]""Reading Detectives (N = 80)[¬e]""']",80,NA,NA,NA,NA
NA,34,NA,28,NA,NA,NA,NA
NA,30,NA,28,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,14,NA,14,NA,NA,NA,NA
NA,13,NA,16,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 11:\n[¬s]""6[¬e]""']",6,"['Page 11:\n[¬s]""6[¬e]""']",6,"['Page 11:\n[¬s]""6[¬e]""']",6,NA,NA
NA,121,NA,175,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 3:\n[¬s]""33[¬e]""']",33,"['Page 3:\n[¬s]""29[¬e]""']",29,NA,NA,NA,NA
"['Page 5:\n[¬s]""14[¬e]""']",14,"['Page 5:\n[¬s]""14[¬e]""']",14,NA,NA,NA,NA
NA,88,NA,90,NA,NA,NA,NA
"['Page 4:\n[¬s]""f 1[¬e]""']",15,"['Page 4:\n[¬s]""f 1[¬e]""']",15,NA,NA,NA,NA
"['Page 4:\n[¬s]""f 1[¬e]""']",15,"['Page 4:\n[¬s]""f 15 [¬e]""']",NA,NA,NA,NA,NA
NA,25,NA,16,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 6:\n[¬s]""15[¬e]""']",15,"['Page 6:\n[¬s]""20[¬e]""']",20,NA,NA,NA,NA
"['Page 7:\n[¬s]""25[¬e]""']",25,"['Page 7:\n[¬s]"" 25[¬e]""']",25,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 5:\n[¬s]""34)[¬e]""']",NA,NA,35,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,12,NA,12,NA,NA,NA,NA
"['Page 6:\n[¬s]""20[¬e]""']",20,"['Page 6:\n[¬s]""10[¬e]""']",10,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,46,NA,46,NA,NA,NA,NA
NA,44,NA,44,NA,NA,NA,NA
"['Page 9:\n[¬s]""N=27[¬e]""']",27,"['Page 9:\n[¬s]""N=19[¬e]""']",19,NA,NA,NA,NA
"['Page 4:\n[¬s]""TABLE I[¬e]""']",70,"['Page 4:\n[¬s]""TABLE I[¬e]""']",70,NA,NA,NA,NA
NA,70,NA,70,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 23:\n[¬s]""709[¬e]""']",709,"['Page 23:\n[¬s]""1,013[¬e]""']",1013,NA,NA,NA,NA
"['Page 37:\n[¬s]""multiple feedback group = 14 students[¬e]""']",10,NA,10,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,1830,NA,2819,NA,NA,NA,NA
NA,24,NA,24,NA,NA,NA,NA
NA,11,NA,11,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,15,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 4:\n[¬s]""The experiment was run in six shifts of from eight to 10 children. Approxi\xad mately equal numbers of children from within each shift received each of the three conditions.[¬e]""']",17,"['Page 4:\n[¬s]""The experiment was run in six shifts of from eight to 10 children. Approxi\xad mately equal numbers of children from within each shift received each of the three conditions.[¬e]""']",17,"['Page 4:\n[¬s]""The experiment was run in six shifts of from eight to 10 children. Approxi\xad mately equal numbers of children from within each shift received each of the three conditions.[¬e]""']",17,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 8:\n[¬s]""Enhanced CPR + FB/C""\n""(n = 30)""\n""Enhanced CPR + FB/C""\n""( n = 29)[¬e]""']",59,"['Page 8:\n[¬s]""Conventional""\n""(n = 30)""\n""Conventional""\n""(n = 31)[¬e]""']",61,NA,NA,NA,NA
NA,52,NA,52,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 92:\n[¬s]""387[¬e]""']",387,"['Page 92:\n[¬s]""248[¬e]""']",248,"['Page 92:\n[¬s]""208[¬e]""']",208,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,244,NA,223,NA,NA,NA,NA
NA,1351,NA,1294,NA,NA,NA,NA
NA,1222,NA,887,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
"['Page 62:\n[¬s]"" 8[¬e]""']",8,"['Page 62:\n[¬s]"" 10[¬e]""']",10,NA,NA,NA,NA
"['Page 62:\n[¬s]""9[¬e]""']",9,"['Page 62:\n[¬s]""10[¬e]""']",10,NA,NA,NA,NA
NA,53,NA,52,NA,NA,NA,NA
NA,145,NA,135,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
