SMD_Outcome_1,SMD_Outcome_2,SMD_Outcome_3,SMD_Outcome_4,SMD_Outcome_5,SMD_Outcome_6,SMD_Outcome_7,SMD_Outcome_8,SMD_Outcome_9,SMD_Outcome_10
0.3534,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6464,0.0896,NA,NA,NA,NA,NA,NA,NA,NA
0.4425,0.1596,NA,NA,NA,NA,NA,NA,NA,NA
0.8836,0.2505,NA,NA,NA,NA,NA,NA,NA,NA
0.3586,0.2109,NA,NA,NA,NA,NA,NA,NA,NA
0.6638,0.8441,NA,NA,NA,NA,NA,NA,NA,NA
1.059,-0.6349,1.0056,NA,NA,NA,NA,NA,NA,NA
0.0218,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4604,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9103,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.079,0.7161,NA,NA,NA,NA,NA,NA,NA,NA
0.0177,0.08,0.008,0.09,0.3,NA,NA,NA,NA,NA
0.3265,1.46,-0.3014,0.4245,NA,NA,NA,NA,NA,NA
-0.2698,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2721,-0.4422,NA,NA,NA,NA,NA,NA,NA,NA
0.0993,0.1656,0.4146,0.3669,0.169,0.7257,NA,NA,NA,NA
-1.1446,-1.0621,-0.8421,-0.4809,NA,NA,NA,NA,NA,NA
-1.0057,-1.118,-0.1616,0.1076,NA,NA,NA,NA,NA,NA
0.4194,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2499,0.2499,NA,NA,NA,NA,NA,NA,NA,NA
0.0488,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2677,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2252,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7436,3.4628,NA,NA,NA,NA,NA,NA,NA,NA
0.7436,0.708,NA,NA,NA,NA,NA,NA,NA,NA
1.39,1.0075,NA,NA,NA,NA,NA,NA,NA,NA
0.1811,-0.2278,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6262,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6248,0.3947,NA,NA,NA,NA,NA,NA,NA,NA
0.1493,0.6183,0.6952,0.3297,NA,NA,NA,NA,NA,NA
-0.5206,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2429,0.0492,NA,NA,NA,NA,NA,NA,NA,NA
