pub_year
1998
2009
2011
1973
2008
1987
1994
1963
2014
2005
1990
1979
1979
1982
1978
1970
1975
1990
1990
1990
1978
1978
1974
1974
2010
1984
1986
1986
1987
1987
1987
2007
2007
1979
2011
1990
2006
2011
1975
2010
1978
1984
1978
1988
1985
1986
1977
1983
1983
1983
1975
2008
1987
2009
2009
2009
2009
2005
1984
1986
1989
1991
1991
1994
1982
1989
2009
2015
1976
1976
2001
1976
1975
1982
2011
1973
2014
1980
1966
2003
1983
1996
1996
1983
2003
2010
2002
2004
2009
1983
2013
2014
2014
2016
2016
2016
2016
1999
1991
2012
2012
1975
1996
2010
1979
1961
1961
2013
1986
1986
1990
1977
1983
2009
2009
1979
1985
1985
1988
2001
2011
2012
2016
1993
1995
1995
1988
1988
1978
2016
2006
1992
1977
2004
1986
1993
1993
1993
2014
1986
2018
1986
1977
1973
1973
1982
1982
1986
1976
1984
1976
2008
2008
1987
2003
1996
2014
2004
1973
2017
2013
2014
2017
2004
1992
1975
1975
1979
2005
2000
1977
