Sample_Outcome_1,Sample_Outcome_2,Sample_Outcome_3,Sample_Outcome_4,Sample_Outcome_5,Sample_Outcome_6,Sample_Outcome_7,Sample_Outcome_8,Sample_Outcome_9,Sample_Outcome_10
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],['Sample: All'],['Sample: All'],['Sample: All'],['Sample: All'],['Sample: All'],NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA
['Sample: All'],['Sample: All'],['Sample: All'],NA,NA,NA,NA,NA,NA,NA
['Sample: Low achievers'],['Sample: Low achievers'],['Sample: Low achievers'],NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
['Sample: All'],NA,NA,NA,NA,NA,NA,NA,NA,NA
