SESMD_OUTCOME_1,SESMD_OUTCOME_2,SESMD_OUTCOME_3,SESMD_OUTCOME_4,SESMD_OUTCOME_5,SESMD_OUTCOME_6,SESMD_OUTCOME_7,SESMD_OUTCOME_8,SESMD_OUTCOME_9,SESMD_OUTCOME_10
0.2573,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2707,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2044,0.1991,NA,NA,NA,NA,NA,NA,NA,NA
0.2314,0.229,NA,NA,NA,NA,NA,NA,NA,NA
0.2426,0.2319,NA,NA,NA,NA,NA,NA,NA,NA
0.2345,0.2332,NA,NA,NA,NA,NA,NA,NA,NA
0.3899,0.3971,NA,NA,NA,NA,NA,NA,NA,NA
0.4022,0.4048,0.3995,NA,NA,NA,NA,NA,NA,NA
0.3419,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3875,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1498,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5777,0.6043,NA,NA,NA,NA,NA,NA,NA,NA
0.1182,0.12,0.012,0.12,0.12,NA,NA,NA,NA,NA
0.3953,0.4496,0.3948,0.3974,NA,NA,NA,NA,NA,NA
0.2557,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3797,0.3826,NA,NA,NA,NA,NA,NA,NA,NA
0.15,0.1502,0.1516,0.1512,0.1502,0.1549,NA,NA,NA,NA
0.3939,0.39,0.3833,0.3712,NA,NA,NA,NA,NA,NA
0.3875,0.3926,0.3658,0.3655,NA,NA,NA,NA,NA,NA
0.3238,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2236,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1278,0.1278,NA,NA,NA,NA,NA,NA,NA,NA
0.3416,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3122,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3607,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2495,0.3875,NA,NA,NA,NA,NA,NA,NA,NA
0.2495,0.2618,NA,NA,NA,NA,NA,NA,NA,NA
0.3623,0.308,NA,NA,NA,NA,NA,NA,NA,NA
0.3881,0.3174,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2138,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2186,0.2154,NA,NA,NA,NA,NA,NA,NA,NA
0.2999,0.3069,0.3089,0.3016,NA,NA,NA,NA,NA,NA
0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1697,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3347,0.3383,NA,NA,NA,NA,NA,NA,NA,NA
0.3663,0.3656,0.3737,0.3681,0.3652,0.3824,0.3652,0.4,0.3685,0.4
0.049,0.0667,0.1417,0.2215,NA,NA,NA,NA,NA,NA
0.4185,0.4161,0.4002,0.4015,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2494,0.1237,NA,NA,NA,NA,NA,NA,NA,NA
0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.291,0.291,0.2967,0.2967,NA,NA,NA,NA,NA,NA
0.4572,0.4462,NA,NA,NA,NA,NA,NA,NA,NA
0.4321,0.4321,NA,NA,NA,NA,NA,NA,NA,NA
0.6852,0.4747,NA,NA,NA,NA,NA,NA,NA,NA
0.0381,0.0381,0.0382,NA,NA,NA,NA,NA,NA,NA
0.74,0.55,0.5,0.88,NA,NA,NA,NA,NA,NA
0.06,0.06,NA,NA,NA,NA,NA,NA,NA,NA
0.098,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3334,0.3435,NA,NA,NA,NA,NA,NA,NA,NA
0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3019,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2701,0.2702,NA,NA,NA,NA,NA,NA,NA,NA
0.268,0.2762,NA,NA,NA,NA,NA,NA,NA,NA
0.2235,0.3188,0.3161,NA,NA,NA,NA,NA,NA,NA
0.1973,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2739,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.08,0.07,NA,NA,NA,NA,NA,NA,NA,NA
0.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA
0.0813,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7,0.16,NA,NA,NA,NA,NA,NA,NA,NA
0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2286,0.2288,0.2284,NA,NA,NA,NA,NA,NA,NA
0.4141,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2842,0.2785,NA,NA,NA,NA,NA,NA,NA,NA
0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0376,0.0377,0.0359,0.0366,0.049,0.0491,0.0474,0.0465,NA,NA
0.0965,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0376,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4075,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0816,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2207,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5076,0.5848,0.5848,NA,NA,NA,NA,NA,NA,NA
0.4895,0.4895,0.497,NA,NA,NA,NA,NA,NA,NA
0.3056,0.2949,0.199,NA,NA,NA,NA,NA,NA,NA
0.1263,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1735,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6659,NA,NA,NA,NA,NA,NA,NA,NA,NA
