CI_lower_Outcome_1,CI_lower_Outcome_2,CI_lower_Outcome_3,CI_lower_Outcome_4,CI_lower_Outcome_5,CI_lower_Outcome_6,CI_lower_Outcome_7,CI_lower_Outcome_8,CI_lower_Outcome_9,CI_lower_Outcome_10
-0.3082,0.3337,0.9445,0.9425,0.4681,0.8126,0.69,NA,NA,NA
0.0833,0.191,NA,NA,NA,NA,NA,NA,NA,NA
0.0374,-0.4376,-0.3556,NA,NA,NA,NA,NA,NA,NA
-0.1509,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1445,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2459,-0.3006,NA,NA,NA,NA,NA,NA,NA,NA
-0.011,-0.2892,NA,NA,NA,NA,NA,NA,NA,NA
0.4082,-0.204,NA,NA,NA,NA,NA,NA,NA,NA
-0.101,-0.2461,NA,NA,NA,NA,NA,NA,NA,NA
-0.1003,0.0659,NA,NA,NA,NA,NA,NA,NA,NA
0.2706,-1.4284,0.2225,NA,NA,NA,NA,NA,NA,NA
-0.6483,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7009,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6167,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.2113,-0.4683,NA,NA,NA,NA,NA,NA,NA,NA
-0.2141,-0.1552,-0.0155,-0.1452,0.0648,NA,NA,NA,NA,NA
-0.4483,0.5787,-1.0753,-0.3544,NA,NA,NA,NA,NA,NA
-0.771,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.0163,-1.1921,NA,NA,NA,NA,NA,NA,NA,NA
-0.1948,-0.1287,0.1175,0.0706,-0.1254,0.4222,NA,NA,NA,NA
-1.9166,-1.8265,-1.5934,-1.2084,NA,NA,NA,NA,NA,NA
-1.7652,-1.8875,-0.8787,-0.6087,NA,NA,NA,NA,NA,NA
-0.2154,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.4383,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0005,-0.0005,NA,NA,NA,NA,NA,NA,NA,NA
-0.6208,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6559,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.4818,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2547,2.7033,NA,NA,NA,NA,NA,NA,NA,NA
0.2547,0.195,NA,NA,NA,NA,NA,NA,NA,NA
0.68,0.4038,NA,NA,NA,NA,NA,NA,NA,NA
-0.5796,-0.8499,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2072,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1964,-0.0274,NA,NA,NA,NA,NA,NA,NA,NA
-0.4385,0.0167,0.0898,-0.2615,NA,NA,NA,NA,NA,NA
-0.8576,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0895,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.116,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.4131,-0.6137,NA,NA,NA,NA,NA,NA,NA,NA
-0.5058,-0.583,-0.1597,-1.0596,-0.732,-1.5686,-0.6779,0.116,-0.3641,0.016
-0.1168,0.1518,-0.1332,-0.169,NA,NA,NA,NA,NA,NA
-0.4331,-0.556,-0.3156,-0.2653,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0438,-0.0211,NA,NA,NA,NA,NA,NA,NA,NA
-0.0588,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2291,-0.2267,-1.2258,-1.2258,NA,NA,NA,NA,NA,NA
0.0954,-0.0849,NA,NA,NA,NA,NA,NA,NA,NA
0.8214,0.8214,NA,NA,NA,NA,NA,NA,NA,NA
1.5993,-0.0288,NA,NA,NA,NA,NA,NA,NA,NA
-0.1107,-0.0381,-0.1197,NA,NA,NA,NA,NA,NA,NA
2.2596,0.972,0.72,3.0752,NA,NA,NA,NA,NA,NA
-0.0176,-0.0476,NA,NA,NA,NA,NA,NA,NA,NA
0.1879,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.6093,-0.1999,NA,NA,NA,NA,NA,NA,NA,NA
0.2102,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1772,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2217,0.2282,NA,NA,NA,NA,NA,NA,NA,NA
0.0245,0.4239,NA,NA,NA,NA,NA,NA,NA,NA
1.526,1.3546,1.3085,NA,NA,NA,NA,NA,NA,NA
-0.2304,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0531,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1532,0.0628,NA,NA,NA,NA,NA,NA,NA,NA
-0.084,-0.188,NA,NA,NA,NA,NA,NA,NA,NA
-0.0794,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.592,0.0864,NA,NA,NA,NA,NA,NA,NA,NA
-0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.5683,-0.2874,-0.4477,NA,NA,NA,NA,NA,NA,NA
-0.1235,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0531,-0.2936,NA,NA,NA,NA,NA,NA,NA,NA
-0.7544,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.002,0.0289,-0.1206,-0.0592,-0.0354,-0.0391,-0.0802,-0.1661,NA,NA
0.1646,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1263,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.6187,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1601,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2238,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.0371,0.6676,0.6676,NA,NA,NA,NA,NA,NA,NA
-0.0334,-0.0334,0.0653,NA,NA,NA,NA,NA,NA,NA
0.7187,0.3982,0.1595,NA,NA,NA,NA,NA,NA,NA
-0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9407,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0272,NA,NA,NA,NA,NA,NA,NA,NA,NA
