CI_upper_Outcome_1,CI_upper_Outcome_2,CI_upper_Outcome_3,CI_upper_Outcome_4,CI_upper_Outcome_5,CI_upper_Outcome_6,CI_upper_Outcome_7,CI_upper_Outcome_8,CI_upper_Outcome_9,CI_upper_Outcome_10
0.7161,0.2356,0.3171,NA,NA,NA,NA,NA,NA,NA
0.8578,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2055,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.047,0.4799,NA,NA,NA,NA,NA,NA,NA,NA
0.896,0.6083,NA,NA,NA,NA,NA,NA,NA,NA
1.359,0.7051,NA,NA,NA,NA,NA,NA,NA,NA
0.8181,0.6679,NA,NA,NA,NA,NA,NA,NA,NA
1.428,1.6224,NA,NA,NA,NA,NA,NA,NA,NA
1.8474,0.1586,1.7886,NA,NA,NA,NA,NA,NA,NA
0.6919,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.2198,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2039,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0533,1.9005,NA,NA,NA,NA,NA,NA,NA,NA
0.2494,0.3152,0.0315,0.3252,0.5352,NA,NA,NA,NA,NA
1.1013,2.3412,0.4725,1.2034,NA,NA,NA,NA,NA,NA
0.2314,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4721,0.3077,NA,NA,NA,NA,NA,NA,NA,NA
0.3933,0.46,0.7116,0.6633,0.4634,1.0293,NA,NA,NA,NA
-0.3726,-0.2977,-0.0908,0.2466,NA,NA,NA,NA,NA,NA
-0.2462,-0.3485,0.5554,0.8239,NA,NA,NA,NA,NA,NA
1.0541,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4383,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5003,0.5003,NA,NA,NA,NA,NA,NA,NA,NA
0.7184,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.8795,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9321,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2326,4.2222,NA,NA,NA,NA,NA,NA,NA,NA
1.2326,1.2211,NA,NA,NA,NA,NA,NA,NA,NA
2.1,1.6111,NA,NA,NA,NA,NA,NA,NA,NA
