part_age_raw,part_age_ht,part_age_info
"['6', '7', '8']","['Page 4:\n[¬s]""(mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years).[¬e]""']",NA
"['7', '6', '8']","['Page 4:\n[¬s]""Thirty-six second graders were recruited from the\ncommunity to participate in a laboratory experi-\nment (mean age07.71, SD0.55, 64% female,\nranging from 6.73 to 8.74 years)[¬e]""']",NA
"['7', '8', '9', '10', '11', '12']",NA,NA
"['11', '12']",NA,NA
"['9', '10', '11', '12']",NA,NA
"['7', '8', '9', '10', '11', '12']",NA,NA
"['11', '12']",NA,NA
"['11', '12', '13', '14']",NA,NA
"['6', '7', '8', '9', '10']",NA,NA
"['9', '10']",NA,NA
"['9', '10']",NA,NA
"['11', '12']",NA,NA
"['11', '12']",NA,NA
"['6', '7', '8']",NA,7.5 years was highest age of any participating child in this study 
"['7', '8']",NA,NA
"['7', '8', '9', '10']",NA,NA
"['10', '11']",NA,NA
"['10', '11']",NA,NA
"['10', '11']",NA,NA
"['6', '7', '8', '9', '10']",NA,NA
"['14', '15', '16']",NA,NA
"['16', '15']","['Page 4:\n[¬s]""average age of 16""\n""(M= 15.85, SD = .50, Min = 15, Max = 18).[¬e]""']",NA
"['9', '10', '11']",NA,NA
"['9', '10', '11']","['Page 4:\n[¬s]""fourth- and fifth- grade stu-\ndents[¬e]""']",NA
"['9', '10']",NA,NA
"['12', '13']",NA,NA
"['12', '13']",NA,NA
"['5', '6', '7']",NA,NA
"['11', '12', '13', '14']",NA,NA
"['10', '11']",NA,NA
"['13', '14']",NA,NA
"['8', '9']",NA,NA
"['8', '9']","['Page 2:\n[¬s]""cture. Children a[¬e]""']",NA
"['12', '13']",NA,NA
"['14', '15']",NA,NA
"['14', '15', '16', '17']",NA,NA
"['9', '10']",NA,NA
"['9', '10', '11']",NA,NA
"['9', '10', '11']","['Page 1:\n[¬s]""fourth graders.[¬e]""', 'Page 5:\n[¬s]"" Ages ranged from 9.2 to 11.8 years (M - 10 years 2 months).[¬e]""']",NA
"['6', '7', '8', '9', '10', '11']",NA,NA
"['6', '7']",NA,NA
"['14', '15']",NA,NA
"['10', '11']",NA,NA
"['16', '17', '18']",NA,NA
"['8', '9']","['Page 2:\n[¬s]"" a second- year class and a third-year class at a junior schoo[¬e]""']","If I understood it correctly they refer to 2nd and 3rd year students at an English junior school, which would be 4th and 5th year primary students, hence 8- and 9-year-olds"
"['8', '9', '10']",NA,NA
"['11', '12']",NA,NA
"['14', '15']",NA,NA
"['5', '6', '7', '8', '9', '10', '11', '14', '15', '16', '17', '18']",NA,NA
['11'],NA,NA
NA,NA,NA
"['10', '11']",NA,NA
"['11', '12', '13']",NA,NA
"['12', '13']",NA,NA
"['8', '9']",NA,NA
"['13', '14']",NA,NA
"['7', '8']",NA,NA
"['11', '12']","['Page 8:\n[¬s]""sixth year of primary school[¬e]""']",NA
"['11', '12']",NA,NA
"['15', '16', '17']",NA,NA
"['9', '10', '11']",NA,NA
"['10', '9', '11']","['Page 6:\n[¬s]""4th and 5th grade classrooms.[¬e]""']",NA
"['10', '11']","['Page 10:\n[¬s]""ﬁfth-grade students[¬e]""']",NA
"['12', '13']","['Page 8:\n[¬s]""9 7th-grade students[¬e]""']",NA
"['11', '12', '13', '14', '15', '16']",NA,NA
"['13', '14']",NA,NA
['11'],NA,6th grade
"['11', '12']",NA,NA
"['7', '8', '9', '10', '11', '12']",NA,NA
"['11', '12', '13']",NA,NA
"['9', '10']",NA,NA
"['6', '8']",NA,NA
