Outcome_ID_1,Outcome_ID_2,Outcome_ID_3,Outcome_ID_4,Outcome_ID_5,Outcome_ID_6,Outcome_ID_7,Outcome_ID_8,Outcome_ID_9,Outcome_ID_10
46751,46752,46753,46754,46755,NA,NA,NA,NA,NA
45078,45079,45080,45081,NA,NA,NA,NA,NA,NA
47873,NA,NA,NA,NA,NA,NA,NA,NA,NA
47878,47879,NA,NA,NA,NA,NA,NA,NA,NA
66289,66290,66291,66293,66294,66292,NA,NA,NA,NA
47882,47883,48041,48042,NA,NA,NA,NA,NA,NA
47886,47887,48039,48040,NA,NA,NA,NA,NA,NA
45055,NA,NA,NA,NA,NA,NA,NA,NA,NA
45058,NA,NA,NA,NA,NA,NA,NA,NA,NA
46795,46796,NA,NA,NA,NA,NA,NA,NA,NA
47942,NA,NA,NA,NA,NA,NA,NA,NA,NA
48043,NA,NA,NA,NA,NA,NA,NA,NA,NA
46919,NA,NA,NA,NA,NA,NA,NA,NA,NA
48044,48045,NA,NA,NA,NA,NA,NA,NA,NA
46805,46918,NA,NA,NA,NA,NA,NA,NA,NA
45329,49748,NA,NA,NA,NA,NA,NA,NA,NA
63042,63043,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45326,NA,NA,NA,NA,NA,NA,NA,NA,NA
66370,66371,NA,NA,NA,NA,NA,NA,NA,NA
46834,46837,46838,46839,NA,NA,NA,NA,NA,NA
65947,NA,NA,NA,NA,NA,NA,NA,NA,NA
65950,NA,NA,NA,NA,NA,NA,NA,NA,NA
47487,NA,NA,NA,NA,NA,NA,NA,NA,NA
47533,47534,NA,NA,NA,NA,NA,NA,NA,NA
47589,47590,47591,47593,47594,47595,47596,47599,47592,47602
48202,48205,48212,48213,NA,NA,NA,NA,NA,NA
47568,47569,47570,47571,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47492,49749,NA,NA,NA,NA,NA,NA,NA,NA
62326,NA,NA,NA,NA,NA,NA,NA,NA,NA
66375,66376,66377,66378,NA,NA,NA,NA,NA,NA
47560,47561,NA,NA,NA,NA,NA,NA,NA,NA
48428,48429,NA,NA,NA,NA,NA,NA,NA,NA
64894,64895,NA,NA,NA,NA,NA,NA,NA,NA
48218,48219,48220,NA,NA,NA,NA,NA,NA,NA
46864,46865,46866,46867,NA,NA,NA,NA,NA,NA
47224,47225,NA,NA,NA,NA,NA,NA,NA,NA
66386,NA,NA,NA,NA,NA,NA,NA,NA,NA
46925,46926,NA,NA,NA,NA,NA,NA,NA,NA
48287,NA,NA,NA,NA,NA,NA,NA,NA,NA
46962,NA,NA,NA,NA,NA,NA,NA,NA,NA
58592,58593,NA,NA,NA,NA,NA,NA,NA,NA
58594,58595,NA,NA,NA,NA,NA,NA,NA,NA
48000,48001,48002,NA,NA,NA,NA,NA,NA,NA
66339,NA,NA,NA,NA,NA,NA,NA,NA,NA
49767,NA,NA,NA,NA,NA,NA,NA,NA,NA
46955,46956,NA,NA,NA,NA,NA,NA,NA,NA
47531,47532,NA,NA,NA,NA,NA,NA,NA,NA
49768,NA,NA,NA,NA,NA,NA,NA,NA,NA
46872,46873,NA,NA,NA,NA,NA,NA,NA,NA
47515,NA,NA,NA,NA,NA,NA,NA,NA,NA
49769,49770,49771,NA,NA,NA,NA,NA,NA,NA
66340,NA,NA,NA,NA,NA,NA,NA,NA,NA
45319,49772,NA,NA,NA,NA,NA,NA,NA,NA
45318,NA,NA,NA,NA,NA,NA,NA,NA,NA
47286,47287,47288,47289,47290,47291,47294,47292,NA,NA
66341,NA,NA,NA,NA,NA,NA,NA,NA,NA
66353,NA,NA,NA,NA,NA,NA,NA,NA,NA
66354,NA,NA,NA,NA,NA,NA,NA,NA,NA
45312,NA,NA,NA,NA,NA,NA,NA,NA,NA
45287,NA,NA,NA,NA,NA,NA,NA,NA,NA
47068,47069,47070,NA,NA,NA,NA,NA,NA,NA
47065,47066,47067,NA,NA,NA,NA,NA,NA,NA
45286,45667,45815,NA,NA,NA,NA,NA,NA,NA
45281,NA,NA,NA,NA,NA,NA,NA,NA,NA
45223,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336,NA,NA,NA,NA,NA,NA,NA,NA,NA
