id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
41817019,Smith (2010),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,NEPSY Theory of Mind (TM)- Adjusted mean - Arts Participation,['Other outcome'],Secondary outcome(s),NEPSY Theory of Mind (TM) F-value- Arts Participation,['Other outcome'],Secondary outcome(s),NEPSY Inhibition  (INI Total Time) - Adjusted mean - Arts Participation ,['Other outcome'],Secondary outcome(s),NEPSY Inhibition  (INI Total Time) F-value - Arts Participation ,['Other outcome'],Secondary outcome(s),NEPSY Auditory Attention (AA) - Adjusted mean -  Arts Participation,['Other outcome'],Secondary outcome(s),NEPSY Auditory Attention (AA) - F-value -  Arts Participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817099,Standley (1997),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Writing and Language skill score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296601,Styles (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT - Reading Score,['Other outcome'],SES/FSM outcome,NGRT - Reading Score,['Other outcome'],Secondary outcome(s),Passage Comprehension Score,['Other outcome'],Secondary outcome(s),Sentence Completion Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816978,Thomson (2013) AP,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TOWRE: Word Reading-RHYTHM ,['Other outcome'],Primary outcome,TOWRE: No Word Reading-RHYTHM ,['Writing and spelling primary outcome.'],Secondary outcome(s),WRAT-III: Spelling-RHYTHM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41816501,Vogel (1975),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test (Reading),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817032,Wagner (1986),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Highest Target Orientation ,['Other outcome'],Secondary outcome(s),Variety of Levels of Target Orientation,['Other outcome'],Secondary outcome(s),Number of Persuasive Assertions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817033,Walker (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,NJASK Language Arts - Arts group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817016,Weidner (1993),['Other outcome'],Secondary outcome(s),Story Retelling  Episode 1 - Arts Participation,['Other outcome'],Secondary outcome(s),Story retell Episode 2 - Arts Participation,['Other outcome'],Secondary outcome(s),Story Retell Episode 3 - Arts Participation,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Story Retell Combined Overall Effect - Arts Participation,['Other outcome'],Secondary outcome(s),Story Retell Episode 4 - Arts Participation,['Other outcome'],Secondary outcome(s),Story Retell Episode 5 - Arts Participation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817166,Williams (1973),['Other outcome'],Primary outcome,Gates-Macginitie Reading Test,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817187,Wooderson (1977) 1_1,['Other outcome'],Primary outcome,Word reading test (school A),['Other outcome'],Primary outcome,Reading word test (School B),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Word test – Total for School A+B: fixed effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325714,Wooderson (1977) 1_2,['Other outcome'],Primary outcome,Reading Word test (School A),['Other outcome'],Primary outcome,Reading word test (School B),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Word test – Total for School A+B: fixed effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41817135,Yazejian (2009),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,PPVT,['Other outcome'],Secondary outcome(s),EPAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
