id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,prev_start_age,new_start_age,addit_time_f_pt,addit_time_struct,early_child_addit_time,setting_type
72102385,McNamara (1968),1968,['Technical report'],NA,"['Toolkit primary outcome', 'Other outcome']",0.7882,0.3296,['Post-test unadjusted (select one from this group)'],ESA+0_Language Skills,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,['Nursery school/pre-school'],['No information provided'],NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],Not specified,Not specified,Not specified,NA,['Not specified / unclear'],['Not specified / unclear'],['Not specified/ Unclear'],['Other (please specify)'],['Six months or half an academic year'],['Nursery school or class (state funded)']
71142161,Melhuish (2002) 1_1,2002,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.19,0.0537,['Post-test unadjusted (select one from this group)'],ESA+0_ in Verbal Attainment,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.19,0.0537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Northern Ireland'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],not specified ,not specified ,not specified ,NA,"['3', '4']",['Not specified / unclear'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],['Nursery school or class (state funded)']
74578022,Melhuish (2002) 1_2,2002,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.24,0.0678,['Post-test unadjusted (select one from this group)'],ESA+0_ in Verbal Attainment,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.24,0.0678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,NA,['Nursery school/pre-school'],"['3', '4']",NA,NA,['Northern Ireland'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],not specified,not specified,not specified,NA,"['3', '4']",['Not specified / unclear'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],['Private nursery class or school']
72102390,Munoz (2001),2001,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.4297,0.028,['Post-test unadjusted (select one from this group)'],ESA+2_ SDRT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.4297,0.028,NA,NA,NA,['Mathematics primary outcome'],-0.341,0.0279,NA,NA,NA,NA,NA,NA,2683,NA,NA,['Nursery school/pre-school'],"['4', '5']",TRUE,100.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,300,NA,['5'],['4'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],['Other (please specify)']
72102392,Nummedal (1971),1971,['Conference paper'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.5087,0.218,['Post-test unadjusted (select one from this group)'],ESA+1_ Comprehension ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5087,0.218,NA,NA,NA,['Mathematics primary outcome'],-0.1501,0.215,NA,NA,NA,NA,NA,NA,141,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],NA,['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,300,NA,['5'],['4'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],"['Nursery school or class (state funded)', 'Other (please specify)']"
72102398,Porter (1965),1965,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.1393,0.2477,['Post-test unadjusted (select one from this group)'],ESA+0_ PPVT total,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1393,0.2477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,300,NA,['Not specified / unclear'],['Not specified / unclear'],['Not specified/ Unclear'],['Full time'],['One full academic year (12 months)'],['Nursery school or class (state funded)']
71969390,Rosa (2019),2019,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.114,0.012,['Post-test unadjusted (select one from this group)'],ESA+5_ Reading score (national exam),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.114,0.012,NA,NA,NA,['Mathematics primary outcome'],0.12,0.01,NA,NA,NA,NA,NA,NA,"4,625,768",NA,NA,"['Nursery school/pre-school', 'Primary/elementary school']",['6'],NA,NA,['Brazil'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,6.5,NA,['Not specified / unclear'],NA,NA,NA,NA,NA
72102408,Seefeldt (1977),1977,['Conference paper'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.3603,0.208,['Post-test unadjusted (select one from this group)'],ESA+1_ PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3603,0.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,['Nursery school/pre-school'],"['3', '4', '5']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],NA,['During regular school hours '],['Class teachers'],38,5,300,NA,['Not specified / unclear'],['4'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],['Nursery school or class (state funded)']
72102411,Smith (1968),2015,['Journal article'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.4283,0.201,['Post-test unadjusted (select one from this group)'],ESA+0_ PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4283,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,"['Nursery school/pre-school', 'Other educational setting (please specify)']","['3', '4']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],44,not specified,not specified,NA,['5'],['4'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],['Other (please specify)']
72102410,Smith (1970),1970,['Journal article'],NA,"['Toolkit primary outcome', 'Other outcome']",0.1632,0.0991,['Post-test unadjusted (select one from this group)'],ESA+2_ MRT ,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,52,NA,['Nursery school/pre-school'],['4'],NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],NA,38,not specified,not specified,NA,['Not specified / unclear'],['Not specified / unclear'],['Other (please specify)'],['Other (please specify)'],['One full academic year (12 months)'],['Nursery school or class (state funded)']
72102412,Sontag (1969),1969,['Journal article'],NA,"['Toolkit primary outcome', 'Other outcome']",0.6109,0.2262,['Post-test unadjusted (select one from this group)'],ESA+0_ Caldwell-Total,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],0.723,0.3177,NA,NA,NA,NA,NA,NA,86,NA,NA,['Nursery school/pre-school'],['4'],TRUE,100.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],24,5,300,NA,['Not specified / unclear'],['4'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],['Nursery school or class (state funded)']
72102416,Steglich (1965),1965,['Technical report'],NA,"['Toolkit primary outcome', 'Other outcome']",-0.0594,0.0894,['Post-test unadjusted (select one from this group)'],ESA+2_ Grades in Gr1,With business as usual,['Sample: All'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,NA,NA,['Nursery school/pre-school'],['No information provided'],NA,NA,['USA'],['Retrospective QED  '],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],Not reported,Not reported,Not reported,NA,['Not specified / unclear'],['Not specified / unclear'],['Not specified/ Unclear'],['Other (please specify)'],"['Other (Please add a numeric value only, in whole number of months)']","['Nursery school or class (state funded)', 'Other (please specify)']"
72102422,Thorndike (1966),1966,['Technical report'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,15,NA,['Nursery school/pre-school'],"['6', '7', '8']",NA,NA,['USA'],['Retrospective QED  '],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Class teachers'],Not reported,Not reported,Not reported,NA,['Not specified / unclear'],['Not specified / unclear'],['Not specified/ Unclear'],['Other (please specify)'],['One full academic year (12 months)'],NA
72102423,Vance (1967),1967,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",-0.269,0.296,['Post-test unadjusted (select one from this group)'],ESA+0_PPVT,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.269,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,2,2,['Nursery school/pre-school'],"['3', '4']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",28,5,240,NA,['Not specified / unclear'],['3'],['Part time'],['Full time'],"['Other (Please add a numeric value only, in whole number of months)']",['Nursery school or class (state funded)']
72102433,Xiang (2002),2002,['Technical report'],NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.3673,0.0946,['Post-test unadjusted (select one from this group)'],ESA+0_ COR  Language & literacy,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3673,0.0946,NA,NA,NA,['Mathematics primary outcome'],0.1528,0.094,NA,NA,NA,NA,NA,NA,596,NA,NA,['Nursery school/pre-school'],"['4', '5']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",36,5,NA,NA,['4'],['4'],['Part time'],['Other (please specify)'],['One full academic year (12 months)'],['Nursery school or class (state funded)']
