id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_text,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
37116214,Naseerali (2013),2013,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",0.5222,0.2416,['Post-test adjusted for baseline attainment'],REC Overall physics achievement,Primary outcome,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.5222,0.2416,NA,NA,NA,71,1,NA,"['Secondary/High school', 'Residential/boarding school']","['13', '14']",NA,NA,['India'],['Individual RCT'],"['Paired learning', 'Small group/intensive support (3-5)']",['No'],['No'],['No'],['During regular school hours '],['Peers'], , , ,['Toolkit: Peer Tutoring']
46844864,Nazzal (2002),2002,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.171,0.2638,['Post-test unadjusted (select one from this group)'],TE_PRI TAAS Maths (postest),Primary outcome,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.171,0.2638,NA,NA,NA,NA,NA,NA,116,1,NA,['Middle school'],"['11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Before/after school'],['Peers'],6,5,25,['Toolkit: Peer Tutoring']
37133954,Novotni (1985),1985,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4112,0.2791,['Post-test unadjusted (select one from this group)'],TE_PRI Maths Achievement and Proficienc,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4112,0.2791,NA,NA,NA,NA,NA,NA,107,1,4,['Secondary/High school'],"['14', '15']",TRUE,75.0,['USA'],['Multisite RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],35,3 ,45 ,['Toolkit: Peer Tutoring']
37093585,Oakland (1975),1975,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5828,0.4521,['Post-test unadjusted (select one from this group)'],TE_PRI Literacy-Metropolitan Reading ComprehensionTest-Supplementary Peer Tutoring,Primary outcome,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5828,0.4521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2,2,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['USA'],['Multisite RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",35,5,35,['Toolkit: Peer Tutoring']
40294937,Osguthorpe (1986) PT,1986,['Technical report'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1405,0.3599,['Pre-post gain'],T&T Reading Achievement (Woodcock Johnson Reading Test),Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1405,0.3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,4,4,"['Nursery school/pre-school', 'Primary/elementary school']","['3', '4', '5', '6']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],10 , ,30,['Toolkit: Peer Tutoring']
37133956,Paquette (2003),2003,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.7779,0.2305,['Post-test adjusted for baseline attainment'],T&T writing assessment model-PT,Primary outcome,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,1,3,['Primary/elementary school'],"['7', '8']",FALSE,11.42,['USA'],['Prospective QED'],"['Paired learning', 'Small group/intensive support (3-5)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],15,1,40,['Toolkit: Peer Tutoring']
37092591,Paquette (2009) 1_1,2009,['Journal article'],"['Feedback', 'Peer tutoring']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.0488,0.3416,['Post-test unadjusted (select one from this group)'],TE_PRI VERB TE G2 English writing ,Primary outcome,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],10,1,60,"['Toolkit: Feedback', 'Toolkit: Peer Tutoring']"
40294939,Paquette (2009) 1_2,2009,['Journal article'],"['Peer tutoring', 'Feedback']","['Toolkit primary outcome', 'Writing and spelling primary outcome.']",1.2677,0.3122,['Post-test unadjusted (select one from this group)'],TR_PRI VERB TR G4 English writing (6+1 traits),Primary outcome,With business as usual,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,1,NA,['Primary/elementary school'],"['7', '8', '9', '10']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],10,1  ,60,"['Toolkit: Feedback', 'Toolkit: Peer Tutoring']"
37133957,Parham (1993),1993,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2697,0.2222,['Pre-post gain'],TE_PRI Orleans-maths  Group 2 (Same-age trained tutors & Group 3 (Same-age untrained tutors),Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2697,0.2222,NA,NA,NA,NA,NA,NA,16,1,NA,['Middle school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['Before/after school'],['Peers'],5 ,1,60,['Toolkit: Peer Tutoring']
37093590,Phelps (1989),1989,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5565,0.2503,['Post-test unadjusted (select one from this group)'],REC Mathematics Achievement-Peer Tutoring,Primary outcome,With active control,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5565,0.2503,NA,NA,NA,NA,NA,NA,152,5,1,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Multisite RCT'],['Paired learning'],['No'],['Yes'],['No'],['During regular school hours '],['Research staff'],70,0.25 ,20,['Toolkit: Peer Tutoring']
