id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_text,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
37116221,Abbondanza (2013),2013,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5174,0.1767,['Pre-post gain'],TE_PRI Reading comprehension (Daze) gain scores,Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5174,0.1767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134,1,4,['Secondary/High school'],"['11', '12', '13']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",13,3,40,['Toolkit: Peer Tutoring']
37133863,Allsopp (1995),1995,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1596,0.1241,['Post-test adjusted for baseline attainment'],TE_PRI Algebra problem solving post-test Tutees,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1596,0.1241,NA,NA,NA,NA,NA,NA,262,3,14,['Middle school'],"['12', '13', '14', '15']",NA,NA,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",5,3.5 , ,['Toolkit: Peer Tutoring']
37093532,Arblaster (1991),1991,['Journal article'],"['Peer tutoring', 'Mastery learning']","['Toolkit primary outcome', 'Reading primary outcome']",1.687,0.4016,['Pre-post gain'],TE_PRI Burt Word Reading Test gains Tutees,Primary outcome,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.687,0.4016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,2,['Primary/elementary school'],['No information provided'],NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Paired learning'],['Unclear/ Not specified'],['No'],['Yes'],"['Unclear/ not specified', 'During regular school hours ']","['Class teachers', 'Peers']",35,5,NA,"['Toolkit: Mastery learning', 'Toolkit: Peer Tutoring']"
37093533,Atherley (1989),1989,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6814,0.3356,['Pre-post gain'],REC Primary Reading Test gains (Reciprocal PT),Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6814,0.3356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,2,['Primary/elementary school'],['10'],NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",12 ,5,15 ,['Toolkit: Peer Tutoring']
47269767,Azcoitia (1989) PT,1989,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3858,0.1911,['Post-test adjusted for baseline attainment'],T&T_Reading,Primary outcome,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3858,0.1911,NA,NA,NA,['Mathematics primary outcome'],0.4069,0.1842,NA,NA,NA,NA,NA,NA,60,2,NA,['Secondary/High school'],"['14', '15', '16']",FALSE,33.0,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],20 ,5,60,['Toolkit: Peer Tutoring']
37133865,Baker (2005),2005,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0958,0.3434,NA,REC DIBELS Phoneme Segmentation gain Reciprocal PT,Primary outcome,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0958,0.3434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,2,['Primary/elementary school'],"['6', '7']",TRUE,56.0,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",6,3,35,['Toolkit: Peer Tutoring']
37093467,Bar-Eli (1982),1982,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0538,0.2754,['Post-test adjusted for baseline attainment'],T&T_Maths,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0538,0.2754,NA,NA,NA,NA,NA,NA,60,3,6,['Primary/elementary school'],"['10', '11', '12', '7', '8']",NA,NA,['Israel'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],"['During regular school hours ', 'Before/after school']",['Peers'],16,3,45,['Toolkit: Peer Tutoring']
37093538,Bramlett (1994),1994,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1019,0.1011,['Post-test adjusted for baseline attainment'],REC Reading comprehension Reciprocal PT,Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1019,0.1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392,NA,18,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['No'],['Yes'],['Unclear/ not specified'],"['Research staff', 'Class teachers', 'Parents/carers', 'Peers']",NA, , ,"['Toolkit: Collaborative learning', 'Toolkit: Peer Tutoring']"
37133869,Bruno (2004),2004,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.3989,0.1291,['Post-test adjusted for baseline attainment'],TR_PRI PSSA Writing Assessment,Primary outcome,With business as usual,['Sample: All'],Literacy  writing,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,3,12,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],8,1,35,['Toolkit: Peer Tutoring']
37093539,Brush (1997),1997,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3167,0.2668,['Post-test adjusted for baseline attainment'],REC California Achievement Test,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3167,0.2668,NA,NA,NA,NA,NA,NA,65,1,3,['Primary/elementary school'],"['10', '11']",FALSE,43.0,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Class teachers', 'Other school staff', 'Peers']",11,1,50 ,['Toolkit: Peer Tutoring']
46844850,Cairo (2005),2005,['Technical report'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1091,0.1904,['Post-test unadjusted (select one from this group)'],T&T Knowledge test of fraction,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1091,0.1904,NA,NA,NA,NA,NA,NA,111,2,NA,['Primary/elementary school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],3,2,50 ,['Toolkit: Peer Tutoring']
37093518,Calhoon (2003),2003,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3997,0.2107,['Post-test unadjusted (select one from this group)'],REC PALS The Math Operations Test - Revised (MOT-R),Primary outcome,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3997,0.2107,NA,NA,NA,NA,NA,NA,92,3,10,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers', 'Peers']",15,2,30,['Toolkit: Peer Tutoring']
37116223,Carberry (2003),2003,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.109,0.186,['Pre-post gain'],T&T Reading comprehension,Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.109,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118 ,1,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10']",FALSE,13.0,['USA'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],10,3,60,['Toolkit: Peer Tutoring']
37093351,Carlton (1985),1985,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3915,0.1294,['Post-test unadjusted (select one from this group)'],T&T Comprehension Gates-MacGinitie ,Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3915,0.1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,12,['Secondary/High school'],"['13', '11', '12']",NA,NA,['USA'],['Multisite RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Teaching assistants', 'Peers']",6,5,20 ,['Toolkit: Peer Tutoring']
37116229,Chu (2017),2017,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5242,0.2275,['Post-test adjusted for baseline attainment'],T&T Fractions and Whole Numbers Test,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5242,0.2275,NA,NA,NA,NA,NA,NA,87,1,3,['Primary/elementary school'],"['10', '11']",NA,NA,['Taiwan'],['Prospective QED'],['Paired learning'],['No'],['Yes'],['No'],['During regular school hours '],['Peers'],2 ,1,60,['Toolkit: Peer Tutoring']
46886252,Codding (2011),2011,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2856,0.2501,['Post-test unadjusted (select one from this group)'],REC KPALS Test of Early Mathematics Ability,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2856,0.2501,NA,NA,NA,NA,NA,NA,65,2,6,['Primary/elementary school'],"['4', '5', '6']",TRUE,58.6,['USA'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",12 ,2,10,['Toolkit: Peer Tutoring']
43090135,Cooper (2016) PT,2016,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0836,0.3537,['Post-test adjusted for baseline attainment'],TE_PRI The Basic Number Screening Test (BNST) ,Primary outcome,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0836,0.3537,NA,NA,NA,NA,NA,NA,63,3,NA,['Secondary/High school'],"['12', '13', '15', '14']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],7,3,20 ,['Toolkit: Peer Tutoring']
