id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
67961495,Salminen (2015),['Other outcome'],Secondary outcome(s),Basic addition: EYN,['Other outcome'],Secondary outcome(s),Enumeration: EYN,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Number Sets Test: EYN,['Other outcome'],Secondary outcome(s),Verbal counting: EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322428,Sarama (2008),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome, (REMA): EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322429,Sarama (2012),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TEAM: EYN,['Other outcome'],Secondary outcome(s),Oral language - Information: EYN,['Reading primary outcome'],Secondary outcome(s),Print recognition: EYN,['Other outcome'],Secondary outcome(s),Oral language – complexity: EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961498,Siegler (2008),['Other outcome'],Secondary outcome(s),Linearity of numerical estimates: EYN,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Numerical knowledge slope: EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322431,Sood (2009),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Early Numeracy-CBM-Oral counting fluency: EYN,['Other outcome'],Secondary outcome(s),Early Numeracy-CBM - Counting From: EY,['Other outcome'],Secondary outcome(s),Early Numeracy-CBM - Number identification: EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961500,Sood (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Non Verbal Calculations adjusted post-test table 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322432,Sophian (2004),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,DSC - Developing Skills Checklist: EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322433,Starkey (2004),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,composite CMA scores: EYN,['Other outcome'],SES/FSM outcome,FSM CMA scores_ EYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961501,Toll (2012),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Regression Table 7 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961502,Toll (2013),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ENT Normal Working Memory vs Control Normal Working Memory Table 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945737,Toll (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ENT (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322402,Tzuriel (1999),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,CognitiveDevelopmentSubtest table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322403,Van De Rijt (1998) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,The Early Mathematical Competence Scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578043,Van De Rijt (1998) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Early Mathematical Competence Scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67322405,White (1986),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TARC Follow up after 1 month table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67961505,Wilson (2009),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Symbolic Numerical Comparison ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945741,Zaranis (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ΤΕΜΑ-3_EY numeracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
