id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5
43100235,Horner (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,State Reading Test (t-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100100,Hundert (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100662,Jones (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement (Wave 2 means/SDs),['Mathematics primary outcome'],Secondary outcome(s),Math Achievement (Wave 2 means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA
43100230,Kutnick (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,['Mathematics primary outcome'],Secondary outcome(s),Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100272,Linares (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS Reading Test,['Mathematics primary outcome'],Secondary outcome(s),CTBS Math Test,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296640,Manchester (2015) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Year 5 Reading INCAS,['Mathematics primary outcome'],Secondary outcome(s),Year 5 Maths INCAS,['Other outcome'],SES/FSM outcome,Year 5 FSM Reading INCAS,['Other outcome'],SES/FSM outcome,Year 5 FSM Maths INCAS,NA,NA,NA
46325688,Manchester (2015) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,KS2 math ,['Reading primary outcome'],Secondary outcome(s),English KS2 ,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134709,Mannarino (1982),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,CARS: Learning (15 items) - Beh. Int.,['Other outcome'],Secondary outcome(s),AML: Learning (1 item) - Beh. Int.,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100236,Morris (2013),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ARS Language and Literacy Skills,['Mathematics primary outcome'],Secondary outcome(s),ARS Math Knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100745,Munoz (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Skills,['Other outcome'],Secondary outcome(s),Reading Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100641,Murray (2005) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325694,Murray (2005) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
