ItemID,Author,SMD_1,SESMD_1,SMD_2,SESMD_2,SMD_3,SESMD_3,SMD_4,SESMD_4,SMD_5,SESMD_5,SMD_6,SESMD_6,SMD_7,SESMD_7,SMD_8,SESMD_8,SMD_9,SESMD_9,SMD_10,SESMD_10
37092604,Boulet (1990) 1_1,-0.0329,-0.0329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294889,Boulet (1990) 1_2,0.2514,0.2514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093538,Bramlett (1994),0.1019,0.1019,0.0759,0.0759,0.1071,0.1071,0.0368,0.0368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091024,Brandstetter (1978) 1_1,1.0215,1.0215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294890,Brandstetter (1978) 1_2,0.37,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092631,Bridgeman (1974) 1_1,0.206,0.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294891,Bridgeman (1974) 1_2,-0.0984,-0.0984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39253196,Brody (1984),0.0224,0.0224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092605,Brookhart (2008),0.1738,0.1738,0.7575,0.7575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671541,Brown (2005),1.0488,1.0488,0.4059,0.4059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133869,Bruno (2004),0.38,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093539,Brush (1997),0.3167,0.3167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296605,Buchanan (2015) Pri,-0.08,-0.08,-0.04,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296604,Buchanan (2015) Sec,0.051,0.051,-0.16,-0.16,-0.026,-0.026,0.09,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37061108,Bumgarner (1984),-0.2205,-0.2205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671596,Bunn (2008),0.6266,0.6266,0.8771,0.8771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671542,Burgoyne (2012),0.0969,0.0969,0.3761,0.3761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092634,Butler (1986) 1_1,1.539,1.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294895,Butler (1986) 1_2,1.1185,1.1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092633,Butler (1987) 1_1,2.4566,2.4566,0.584,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294893,Butler (1987) 1_2,0.541,0.541,-0.3701,-0.3701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
