id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
47269791,Degé (2011) Ph,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Visual Memory Test,['Other outcome'],Secondary outcome(s),Auditory memory Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099870,del Rosario (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading - Phonics,['Other outcome'],Secondary outcome(s),Phonemic Awareness - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099992,Dynarski (2007) Ph,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TOWRE - Word Reading Efficiency,['Other outcome'],Secondary outcome(s),SESAT - total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099990,Ehri (2007) Ph,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GRMT4  Word decoding - Phonics,['Other outcome'],Secondary outcome(s),GRMT4 Reading Comprehension - Phonics,['Other outcome'],Secondary outcome(s),WRMT-R Word Identification Test - Phonics,['Other outcome'],Secondary outcome(s),WRMT-R Word Attack Test - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099807,Eldredge (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension (Gates-MacGinitie),['Other outcome'],Secondary outcome(s),Vocabulary ,['Other outcome'],Primary outcome,Total Reading Achievement (Gates-MacGinitie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099812,Evans (1985) Ph,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Stanford Cloze,['Other outcome'],Secondary outcome(s),All Three Passages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269796,Ewbank (2005) Ph,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,WORD,['Other outcome'],Secondary outcome(s),Letter knowledge,['Other outcome'],Secondary outcome(s),Word knowledge,['Other outcome'],Secondary outcome(s),Sight vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099804,Foorman (1997) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325674,Foorman (1997) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word Reading Sight v Analytic,['Other outcome'],Secondary outcome(s),Phonological Analysis Sight v Analytic,['Other outcome'],Secondary outcome(s),Orthographic processing Sight v Analytic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099811,Foorman (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WJ-R Passage Comprehension (IC-S control) - Phonics,['Other outcome'],Primary outcome,WJ-R Passage Comprehension (IC-R control) - Phonics,['Other outcome'],Secondary outcome(s),WJ-R Basic Reading cluster (IC-S control) - Phonics,['Other outcome'],Secondary outcome(s),WJ-R Basic Reading cluster (IC-R control) - Phonics,['Other outcome'],Secondary outcome(s),FRI (IC-R control) - Phonics,['Other outcome'],Secondary outcome(s),KTEA Spelling (IC-R)  - Phonics,['Other outcome'],Secondary outcome(s),FRI (IC-S control) - Phonics,['Writing and spelling primary outcome.'],Secondary outcome(s),KTEA Spelling (IC-S)  - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099907,Ford (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GMRT Reading Comprehension (Post-test mean) - Phonics,['Other outcome'],Secondary outcome(s),GMRT Reading Comprehension (Gain score) - Phonics - ,['Other outcome'],Secondary outcome(s),WJIII Letter Word Identification (post-test mean) - Phonics,['Other outcome'],Secondary outcome(s),WJIII Letter Word Identification (Pre-post gain) - Phonics,['Other outcome'],Secondary outcome(s),WJIII Word Attack (Post-test mean) - Phonics,['Other outcome'],Secondary outcome(s),WJIII Word Attack (pre-post gain) - Phonics,['Other outcome'],Secondary outcome(s),TOWRE Sight Word Efficiency (Post-test mean) - Phonics,['Other outcome'],Secondary outcome(s),TOWRE Sight Word Efficiency (Pre-post gain) - Phonics,['Other outcome'],Secondary outcome(s),TOWRE Phonemic Decoding Efficiency (Post-test mean) - Phonics,['Other outcome'],Secondary outcome(s),TOWRE Phonemic Decoding Efficiency (pre-post gain) - Phonics,NA,NA,NA,NA,NA,NA
43099920,Frederickson (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Age - Phonics,['Other outcome'],Secondary outcome(s),Spelling Age - Phonics,['Other outcome'],Secondary outcome(s),Non-word Reading Test - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099805,Fulwiler (1980),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension - Phonics,['Other outcome'],Secondary outcome(s),Vocabulary - Phonics,['Other outcome'],Secondary outcome(s),Word Analysis - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099802,Gersten (1988) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT Reading Comp 3rd Grade Kindergarten v control,['Other outcome'],Secondary outcome(s),MAT Word Knowledge 3rd Grade Kindergarten v control,['Writing and spelling primary outcome.'],Primary outcome,MAT Spelling 3rd Grade Kindergarten v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325675,Gersten (1988) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT Reading Comp 3rd Grade 1st Grade Schooling  only v control,['Other outcome'],Secondary outcome(s),MAT Word Knowledge 3rd Grade 1st Grade Schooling only v control,['Other outcome'],Secondary outcome(s),MAT Spelling 3rd Grade 1st Grade Schooling only v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269803,Given (2008) Ph,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,WJ-R Auditory Processing Skills,['Other outcome'],Secondary outcome(s),RAN-phonological retrieval,['Reading primary outcome'],Secondary outcome(s),WJ-R Passage Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296617,Gorard (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,GL New Group Reading Test,['Other outcome'],SES/FSM outcome,GL New Group Reading Test FSM,['Other outcome'],Secondary outcome(s),GL New Group Reading Test SEN,['Other outcome'],Secondary outcome(s),GL New Group Reading Test  Low Achievers ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296616,Gorard (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,New Group Reading Test B (NGRT-B),['Other outcome'],SES/FSM outcome,FSM New Group Reading Test (NGRT) Results,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099991,Gottshall (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Fluency - Ph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671557,Graves (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Letter Naming Fluency (A2-2 terms),['Other outcome'],Secondary outcome(s),Phoneme Segmentation (A2- 2 terms),['Other outcome'],Secondary outcome(s),Letter Naming Fluency (B-1 Terms),['Other outcome'],Secondary outcome(s),Phoneme Segmentation (B - 1 Term),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100020,Greaney (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Neale reading - rime analogy,['Other outcome'],Secondary outcome(s),Burt Word - Rime analogy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099799,Griffith (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS Comprehension - Phonics,['Other outcome'],Secondary outcome(s),CTBS Word Recognition - Phonics,['Writing and spelling primary outcome.'],Secondary outcome(s),TWS Predictable - Phonics,['Other outcome'],Secondary outcome(s),TWS Unpredictable - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099989,Gunn (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,W-J compreh. - phonics group,['Other outcome'],Secondary outcome(s),W-J Word Att.-Phonics group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099916,Hansen (1980),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,20-item test - Phonics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100022,Haskell (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word reading - accuracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
