id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
40642394,Daniels (1961) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Test,['Mathematics primary outcome'],Secondary outcome(s),Arithmetic Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336726,Daniels (1961) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Schonell Graded Reading Test,['Mathematics primary outcome'],Secondary outcome(s),ALL_Arithmetic Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642396,DeGrow (1964),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Reading Score-Combined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269792,Duflo (2011) SetS,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ALL_Short Term Total Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642407,Flair (1964),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Reading Total,['Mathematics primary outcome'],Primary outcome,ALL_Arithmetic Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642408,Fogelman (1978),['Other outcome'],Secondary outcome(s),ALL_Reading Streamed Mean difference Z scores,['Other outcome'],Secondary outcome(s),ALL_Reading Setted Mean difference Z scores,['Other outcome'],Secondary outcome(s),ALL_Reading Mixed Ability Mean difference Z scores,['Other outcome'],Primary outcome,ALL_Maths Streamed Mean difference Z score,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Overall Reading ES,['Other outcome'],Secondary outcome(s),ALL_Maths Setted Mean difference Z score,['Other outcome'],Secondary outcome(s),ALL_Maths Mixed Ability Mean difference Z score,['Mathematics primary outcome'],Secondary outcome(s),ALL_Overall Maths ES
40642414,Green (1963) 1_1,['Other outcome'],Primary outcome,ALL_SAT: Reading -Gr4 (t-test) Cross grade comparison,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_SAT: Reading -Gr4 (mean/SD gain) Cross grade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336740,Green (1963) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_SAT: Reading -Gr5 (t-test calculation),['Other outcome'],Secondary outcome(s),SAT: Reading –Gr5 (mean/SD gain),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336741,Green (1963) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_SAT -Reading -Gr6 (t-test) cross grade comparison,['Other outcome'],Secondary outcome(s),ALL_SAT: Reading –Gr6 (mean/SD gain) cross grade comparison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642415,Halliwell (1963) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_CAT Reading Comprehension (posttest means/SDs),['Other outcome'],Secondary outcome(s),ALL_CAT Word Knowledge (posttest means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
