id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2
67335226,Fuchs (2001) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,RLS score_Early Literacy,['Reading primary outcome'],Secondary outcome(s),Word Attack_Early Literacy
74578016,Lonigan (1998) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-R,NA,NA,NA
68127093,Raisor (2006) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TPA Table 2 ,NA,NA,NA
74578031,Raisor (2006) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TPA Table 2,NA,NA,NA
67335282,Whitehurst (1994) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT School plus home reading Table 4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITPA table 4
74578047,Whitehurst (1994) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT Table 4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITPA table 4
