id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13
77945730,Gormley (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_WJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102356,Hartford City Board of Education (1973),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102358,Hebbeler (1985),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+4_ CAT: Headsart  s control,['Other outcome'],Secondary outcome(s),ESA+9_ CAT: Headsart  vs control,['Other outcome'],Secondary outcome(s),ESA+12_ CAT: Headsart  vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102367,Hubbard (1967),['Other outcome'],Secondary outcome(s),ESA+2_Oral Language-Gr1(HA-T1),['Other outcome'],Secondary outcome(s),ESA+2_Oral Language-Gr1(HA-T2),['Other outcome'],Secondary outcome(s),ESA+2_Oral Language-Gr1(MA-T2),['Other outcome'],Secondary outcome(s),ESA+2_Oral Language-Gr1(LA-T1),['Other outcome'],Secondary outcome(s),ESA+2_Oral Language-Gr1(LA-T2),['Other outcome'],Secondary outcome(s),ESA+2_Oral Language-Gr1(MA-T1),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+2_Oral Language-Gr1(all groups),['Other outcome'],Secondary outcome(s),ESA+3_Oral Language-Gr2(HA-T1),['Other outcome'],Secondary outcome(s),ESA+3_Oral Language-Gr2(HA-T2),['Other outcome'],Secondary outcome(s),ESA+3_Oral Language-Gr2(MA-T1),['Other outcome'],Secondary outcome(s),ESA+3_Oral Language-Gr2(MA-T2),['Other outcome'],Secondary outcome(s),ESA+3_Oral Language-Gr2(LA-T1),['Other outcome'],Secondary outcome(s),ESA+3_Oral Language-Gr2(LA-T2)
72102378,Larsen (1989),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+3_CTBS_Battery,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+3 CTBS Reading total table 1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+3_CTBS Language total table 1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ESA+3_CTBS Maths total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102379,Larson (1972),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+0_Stanford-Binet Scores (X vs C1),['Other outcome'],Secondary outcome(s),ESA+0_Stanford-Binet (X vs C2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102385,McNamara (1968),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+0_Language Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71142161,Melhuish (2002) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_ in Verbal Attainment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74578022,Melhuish (2002) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_ in Verbal Attainment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102390,Munoz (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+2_ SDRT,['Mathematics primary outcome'],Secondary outcome(s),ESA+2_ SDMT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
