id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
41683506,Crangle (1971),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SAT Arithmetic Grade Equivalent Gain Intervention v Control,['Other outcome'],Secondary outcome(s),Work Study Skills Gain Intervention v Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381434,Darnowski (1968) 1_1,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Nuclear Chemistry Gain Short Step v control t test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336727,Darnowski (1968) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Nuclear Chemistry Gain Long step v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336728,Darnowski (1968) 1_3,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Nuclear Chemistry Gain t test Branched v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134513,Dolan (1993) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT reading - ML vs Int. Boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090142,Dolan (1993) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: Reading -ML vs Int.Girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090141,Dolan (1993) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: reading - ML vs Ext. Boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090140,Dolan (1993) 1_4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: Reading -ML vs Ext. G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683510,Englert (1972) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Seattle Algebra Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336729,Englert (1972) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Seattle Algebra Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336730,Englert (1972) 1_3,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Seattle Algebra Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683613,Fagan (1976),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,IOWA Test of Basic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381437,Fulton (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,BSCS Comprehensive Final Exam Posttest Intervention v control,['Other outcome'],Primary outcome,Nelson Biology Achievement Posttest Intervention v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
