id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
41683552,Bryant (1982),1982,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.661,0.3536,['Post-test unadjusted (select one from this group)'],Number of Words Read Correctly,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11']",NA,NA,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,3,30,['Toolkit: Mastery learning']
41683553,Burke (1983) 1_1,1983,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7783,0.262,['Post-test unadjusted (select one from this group)'],Posttest HMP,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.7783,0.262,NA,NA,NA,NA,NA,NA,63   ,1,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers', 'Teaching assistants']",3,1,NA,['Toolkit: Mastery learning']
45336720,Burke (1983) 1_2,1983,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.2084,0.28,['Post-test unadjusted (select one from this group)'],Posttest HMP,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,NA,NA,['Toolkit: Mastery learning']
45336721,Burke (1983) 1_3,1983,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.3654,0.2632,['Post-test unadjusted (select one from this group)'],Posttest HMP,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: National test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,1,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],3,NA,NA,['Toolkit: Mastery learning']
41683554,Burrows (1975),1975,['Conference paper'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.9534,0.3813,['Post-test unadjusted (select one from this group)'],Mathematics Test Total Score,With business as usual,"['Sample: High achievers', 'Sample: Low achievers']",Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.9534,0.3813,NA,NA,NA,NA,NA,NA,42,1,2,['Primary/elementary school'],"['9', '10', '11']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",2,5,45,['Toolkit: Mastery learning']
41683611,Cabezon (1984),1984,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",1.0936,0.2177,['Post-test unadjusted (select one from this group)'],Spanish Scores,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,['Mathematics primary outcome'],1.7252,0.2366,NA,NA,NA,NA,NA,NA,see table 2,22,NA,['Primary/elementary school'],"['8', '9', '11', '12', '13', '14']",NA,NA,['Chile'],['Cluster RCT'],"['Large group/class teaching (+6)', 'Small group/intensive support (3-5)', 'One to one', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],114 ,5,60,['Toolkit: Mastery learning']
41683649,Campbell (1978),1978,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Other outcome']",0.6621,0.1683,['Post-test unadjusted (select one from this group)'],Test A,With business as usual,['Sample: All'],Cognitive  reasoning,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153 ,2,8,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],20,5,55,['Toolkit: Mastery learning']
41683501,Carlson (1975),1975,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.1119,0.215,['Post-test unadjusted (select one from this group)'],ACS-NSTA Cooperative Examination,With active control,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.1119,0.215,NA,NA,NA,89 ,1,4,['Secondary/High school'],['No information provided'],NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Small group/intensive support (3-5)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers', 'Peers']",6,5,55,['Toolkit: Mastery learning']
41683556,Chiappetta (1980),1980,['Journal article'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.1154,0.309,['Post-test adjusted for baseline attainment'],Chemistry - Criterion-referenced test,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.1154,0.309,NA,NA,NA,49,1,2,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],NA,NA,NA,['Toolkit: Mastery learning']
41683502,Cohen (1970) 1_1,1970,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4188,0.1222,NA,"SRA Modern Math Understand, Fora D",With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.4188,0.1222,NA,NA,NA,NA,NA,NA,274,20,NA,['Middle school'],"['12', '13']",NA,NA,['USA'],['Multisite RCT'],['Student alone (self-administered)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38 ,5 , ,['Toolkit: Mastery learning']
45336724,Cohen (1970) 1_2,1970,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1602,0.1151,NA,"SRA Modern Math Understanding, Fora D",With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1602,0.1151,NA,NA,NA,NA,NA,NA,306,20,NA,['Middle school'],"['12', '13']",NA,NA,['USA'],['Multisite RCT'],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,5,40,['Toolkit: Mastery learning']
41683506,Crangle (1971),1971,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6645,0.369,NA,SAT Arithmetic Grade Equivalent Gain Intervention v Control,With business as usual,NA,Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.6645,0.369,NA,NA,NA,NA,NA,NA,62,1,NA,['Middle school'],"['13', '14']",NA,NA,['USA'],['Individual RCT'],"['Student alone (self-administered)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],19,NA,NA,['Toolkit: Mastery learning']
43381434,Darnowski (1968) 1_1,1968,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.3744,0.279,['Post-test adjusted for baseline attainment'],Nuclear Chemistry Gain Short Step v control t test,With business as usual,['Sample: High achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.3744,0.279,NA,NA,NA,52,"1 school, linear short only ",NA,['Secondary/High school'],"['12', '13']",NA,NA,['USA'],['Individual RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Class teachers'],1,5,40 ,['Toolkit: Mastery learning']
45336727,Darnowski (1968) 1_2,1968,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",0.5436,0.2824,['Post-test adjusted for baseline attainment'],Nuclear Chemistry Gain Long step v control,With business as usual,['Sample: High achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.5436,0.2824,NA,NA,NA,52,2,NA,['Secondary/High school'],"['18', '14', '15', '16', '17']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],7,1,40,['Toolkit: Mastery learning']
45336728,Darnowski (1968) 1_3,1968,['Dissertation or thesis'],['Mastery learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.2675,0.303,['Post-test adjusted for baseline attainment'],Nuclear Chemistry Gain t test Branched v control,With business as usual,['Sample: High achievers'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.2675,0.303,NA,NA,NA,52,2,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],7,1,490,['Toolkit: Mastery learning']
40134513,Dolan (1993) 1_1,1993,['Journal article'],"['Behaviour interventions', 'Mastery learning']","['Toolkit primary outcome', 'Reading primary outcome']",0.1724,0.1525,['Post-test unadjusted (select one from this group)'],CAT reading - ML vs Int. Boys,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1724,0.1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,19,16,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Behaviour interventions']
43090142,Dolan (1993) 1_2,1993,['Journal article'],"['Behaviour interventions', 'Mastery learning']","['Toolkit primary outcome', 'Reading primary outcome']",0.0951,0.1482,['Post-test unadjusted (select one from this group)'],CAT  Reading -ML vs Int.Girls,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0951,0.1482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,2,16,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],38,NA,NA,['Toolkit: Behaviour interventions']
