id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111601,Bridge (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language (target words),['Other outcome'],Secondary outcome(s),Reading comprehension - oral language (untargeted words),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111334,Brimmer (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language,['Other outcome'],Secondary outcome(s),Reading comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111478,Brooks (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,24-item vocabulary posttest scores -storybook readings with explicit instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111602,Buckner (1978),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Comprehension ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111434,Carney (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,['Other outcome'],Secondary outcome(s),Reading Comprehension F test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111338,Carriedo (1995)  OL 1_1,NA,Secondary outcome(s),Main Ideas Identification test score (Text 1),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Main Ideas Identification test score Text 2,['Other outcome'],Secondary outcome(s),Text summarization score Text 1,['Other outcome'],Secondary outcome(s),Text summarization score Text 2-oral language ,['Other outcome'],Secondary outcome(s),Details recall Text 1-oral language ,['Other outcome'],Secondary outcome(s),Details recall Text 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090120,Carriedo (1995) OL 1_2,['Other outcome'],Secondary outcome(s),Recall (Main Ideas) Text 1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Recall (whole text) - Text 1,['Other outcome'],Secondary outcome(s),Main Ideas - Text 1,['Other outcome'],Secondary outcome(s),Strategies - Text 1,['Other outcome'],Secondary outcome(s),Recall (main ideas) - text 2,['Other outcome'],Secondary outcome(s),Recall (whole text),['Other outcome'],Secondary outcome(s),Main Ideas - Text 2,['Other outcome'],Secondary outcome(s),Strategies - Text 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111603,Carrigan (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinite Reading Test (L1),['Other outcome'],Secondary outcome(s),Gates-MacGinitie Reading Test - Vocabulary (L1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111562,Cashman (1977),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PMAT (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111670,Center (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Burt Word Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111564,Chamberlain (1993) OL,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,The New Jersey Test of Reasoning Skills ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025488,Chow (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPCLS posttest Dialogic v control,['Other outcome'],Secondary outcome(s),PPVT Posttest Dialogic v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269788,Clarke (2010) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NARA II Comprehension,['Other outcome'],Secondary outcome(s),WIAT II,['Other outcome'],Secondary outcome(s),WASI Vocabulary ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111604,Cleland (1964),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading (F),['Other outcome'],Secondary outcome(s),Word Meaning (F),['Other outcome'],Secondary outcome(s),Vocabulary (F),['Other outcome'],Secondary outcome(s),Spelling (F),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269790,Conte (1989) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Ekwell Oral Reading,['Other outcome'],Secondary outcome(s),Woodcock Passage Comprehension ,['Other outcome'],Secondary outcome(s),Boder Reading Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
