id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40307525,Moore (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Recall (Graph Text),['Other outcome'],Secondary outcome(s),Recall ( Food Web Text),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090187,Morrow (1984) RC,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Combined Scores - RC: Combinatoin group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307251,Mothus (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Stanford Diagnostic Reading Comprehension test,NA,Secondary outcome(s),Stanford Diagnostic Reading Comprehension Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307331,Nelson (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TORC 3 (t test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307332,Nolan (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension scores (SQWP vs CVI),['Other outcome'],Secondary outcome(s),Reading comprehension scores (SQ vs CVI),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307333,O'Hara (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Woodcok Reading Mastery Test,['Other outcome'],Secondary outcome(s),MAZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307336,Palincsar (1984),['Other outcome'],Secondary outcome(s),Social studies - Read.Comp,['Science primary outcome'],Secondary outcome(s),Science - Read.Compr.,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Summarising - Read.Compr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307337,Palincsar (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-McGinitie Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307338,Paris (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Comprehension Test,['Other outcome'],Secondary outcome(s),Tests of Reading Comprehension (TORC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307339,Paris (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Awareness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307340,Payne (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307254,Peverly (2001) RC,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension (Gates MacGinitie) - Reading Comprehension Strategies) - ,NA,Secondary outcome(s),UCT Comprehension Test (Total Score)  - Reading Comprehension Strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
