id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,cl_approach_spec,cl_grp_size,cl_collab_kind,cl_stud_collab,cl_extr_rewards,cl_what_rewards,cl_comp_elem,cl_teacher_role_info,cl_pup_feedback,cl_pup_feedback_who
38296617,Gorard (2014),2014,['Technical report'],"['Teaching assistants', 'One to one tuition', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.237,0.1144,['Post-test adjusted for baseline attainment'],GL New Group Reading Test,With active control,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.237,0.1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,19,NA,['Secondary/High school'],"['11', '12']",FALSE,32.0,"['UK (Select all that apply)', 'England']",['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants', 'Other school staff']",10,5,20,['Toolkit: One to one tuition'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671634,Graham (2007),2007,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3553,0.3622,['Pre-post gain'],PAT Reading Comprehension (Gain),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3553,0.3622,NA,NA,NA,['Mathematics primary outcome'],0.738,0.1051,NA,NA,NA,NA,NA,NA,52,3,9,['Middle school'],['11'],NA,NA,['Australia'],['Retrospective QED  '],['Small group/intensive support (3-5)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",26,3,30,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671557,Graves (2010),2010,['Dissertation or thesis'],"['Teaching assistants', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.3178,0.3474,['Post-test adjusted for baseline attainment'],Letter Naming Fluency (A2-2 terms),With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3178,0.3474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,2,['Primary/elementary school'],['5'],FALSE,9.0,['USA'],['Retrospective QED  '],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],24,3,50,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671558,Gray (2007),2007,['Journal article'],"['Teaching assistants', 'One to one tuition']","['Toolkit primary outcome', 'Reading primary outcome']",1.1499,0.2544,['Post-test unadjusted (select one from this group)'],Reading Performance-One on one tuition,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.1499,0.2544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,6,9,['Primary/elementary school'],['6'],NA,NA,['Northern Ireland'],['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],8,5,15,['Toolkit: One to one tuition'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671515,Guerrero (2015),2015,['Dissertation or thesis'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6,0.5,['Post-test adjusted for baseline attainment'],WLPB-R (L2 Broad Reading Ability) NOVA,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,11,NA,['Primary/elementary school'],"['7', '9']",NA,NA,['USA'],['Retrospective QED  '],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],72,5,45,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671559,Gwernan-Jones (2018),2018,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6437,0.4221,['Post-test unadjusted (select one from this group)'],Reading achievement-Phonics,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6437,0.4221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,NA,['Secondary/High school'],"['11', '12', '13', '14', '15']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['One to one'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Teaching assistants'],8,5,5,"['Toolkit: Phonics', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671520,Haley (2017),2017,['Journal article'],"['Teaching assistants', 'Oral language interventions']","['Toolkit primary outcome', 'Other outcome']",0.46,0.5,['Post-test adjusted for baseline attainment'],YARC Listening Comprehension (reported ES),With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],['Reading primary outcome'],0.2309,0.2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,13,13,['Nursery school/pre-school'],"['3', '4']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],15,3,20,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671562,Hatcher (2006),2006,['Journal article'],"['Teaching assistants', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.1236,0.2282,['Post-test unadjusted (select one from this group)'],BAS II Word Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1236,0.2282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,13,13,['Primary/elementary school'],"['5', '6']",FALSE,34.5,"['UK (Select all that apply)', 'England']",['Individual RCT'],"['Small group/intensive support (3-5)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],20,5,20,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40398941,Hodgen (2019),2019,['Technical report'],"['Teaching assistants', 'One to one tuition']","['Toolkit primary outcome', 'Mathematics primary outcome']",0.1278,0.0475,['Post-test adjusted for baseline attainment AND clustering'],Progress Test in Mathematics,With active control,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.1278,0.0475,NA,NA,NA,NA,NA,NA,1481,151,NA,['Primary/elementary school'],"['9', '10', '8', '6', '7', '11']",FALSE,22.0,"['UK (Select all that apply)', 'England']",['Cluster RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],39,2,15,"['Toolkit: One to one tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671521,Holmes (2013),2013,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4,0.12,['Post-test adjusted for baseline attainment'],BNST Test (ANOVA),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.4,0.12,NA,NA,NA,NA,NA,NA,440,NA,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,"['UK (Select all that apply)', 'England', 'Wales']",['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],20,2,15,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
