id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13
43090178,Mitchell (1968) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_ITBS_composite score,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS_composite score,['Other outcome'],Secondary outcome(s),SA+4_MAT_ITBS_composite score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090179,Mitchell (1968) 1_4,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SG+2_MAT_ITBS-composite score,['Other outcome'],Secondary outcome(s),SG+4_MAT_ITBS-composite score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090180,Mitchell (1968) 1_5,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_ITBS_composite score,['Other outcome'],Secondary outcome(s),SA+3_MAT_ITBS_composite score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090181,Mitchell (1968) 1_6,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SG+2_MAT_ITBS-composite score,['Other outcome'],Secondary outcome(s),SG+3_MAT_ITBS-composite score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090182,Mitchell (1968) 1_7,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+1_MAT_ITBS_composite score,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS_composite score,['Other outcome'],Secondary outcome(s),SA+2_MAT_ITBS_composite score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090183,Mitchell (1968) 1_8,['Other outcome'],Secondary outcome(s),SG+2_MAT_ITBS-composite score,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SG+2_MAT_ITBS-composite score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090184,Mitchell (1968) 1_9,['Other outcome'],Secondary outcome(s),SG+5_MAT_ITBS combined,['Other outcome'],Secondary outcome(s),SG+4_MAT_ITBS combined,['Other outcome'],Secondary outcome(s),SG+3_MAT_ITBS combined,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SG+(2-5)_MAT_ITBS combined,NA,Secondary outcome(s),SG+2_MAT_ITBS combined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375699,Niklason (1984),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_WRAT Reading,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_WRAT Arithmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375641,Ogden (1971) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(5-13)_MAT_Iowa Test of Basic Skills (Reading),['Mathematics primary outcome'],Secondary outcome(s),SG+(5-13)_MAT_Iowa Test of Basic Skills (Arithmetic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106834,Ogden (1971) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(5-13)_MAT_Iowa Test of Basic Skills (Reading,['Mathematics primary outcome'],Secondary outcome(s),SG+(5-13)_MAT_Iowa Test of Basic Skills (Maths),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
