id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12
52131840,Puder (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Attention - KHV correct cards,['Other outcome'],Primary outcome,Attention 2 - KHV correct cards,['Other outcome'],Secondary outcome(s),Attention 3 – duration in mins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131749,Reed (2013),['Other outcome'],Secondary outcome(s),Raven Test – A : Elem. – girls,['Other outcome'],Secondary outcome(s),Raven Test – B : Elem. – girls,['Other outcome'],Secondary outcome(s),Raven Test – A : Elem. – boys,NA,Secondary outcome(s),Raven Test – F : Middle. – girls,['Other outcome'],Secondary outcome(s),Raven Test – F : Middle. – boys,['Other outcome'],Secondary outcome(s),Raven total (A to E forms)-Elem-Females,['Other outcome'],Primary outcome,Raven total (A to E forms)-Elem. – boys,['Other outcome'],Primary outcome,Raven total (A to E forms)-Elem-G+B,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Raven total –fixed effect-Element+Middle,['Other outcome'],Secondary outcome(s),Raven total (F to J forms)-Middle-F+B,['Other outcome'],Secondary outcome(s),Raven total (F to J forms)-Middle-Females,['Other outcome'],Secondary outcome(s),Raven total ((F to J forms)-Middle. – boys
52131750,Resaland (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Numeracy Score,['Other outcome'],Secondary outcome(s),Reading Norwegian Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131665,Reynolds (2007),['Other outcome'],Secondary outcome(s),Rapid Naming,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Writing Score,['Other outcome'],Secondary outcome(s),Verbal Score,['Other outcome'],Secondary outcome(s),Semantic ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131624,Riley (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths performance,['Other outcome'],Secondary outcome(s),On task Maths behavior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106842,Sallis (1999) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Score,['Other outcome'],Secondary outcome(s),Mathematics,['Other outcome'],Secondary outcome(s),Language scores,['Other outcome'],Secondary outcome(s),Basic Battery (Composite score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131824,Schmidt (2016)_1,['Other outcome'],Secondary outcome(s),Focused attention,['Toolkit primary outcome'],Primary outcome,Processing speed,['Other outcome'],Secondary outcome(s),Accuracy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131754,Shore (2014),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic Performance (GPA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131626,Shoval (2018),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension Reading Test,['Mathematics primary outcome'],Secondary outcome(s),Mathematics Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131418,Sibley (2004),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Stroop Colour Task ,['Other outcome'],Secondary outcome(s),Stroop Interference,['Other outcome'],Secondary outcome(s),Negative Priming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131755,Sjöwall (2017),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Odd one out Task ,['Other outcome'],Secondary outcome(s),Arithmetic Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131547,Skolnick (1980),['Mathematics primary outcome'],Secondary outcome(s),Mathematics Score (adjusted),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Language Usage Test (adjusted),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131756,Spitzer (2013)_1,['Other outcome'],Secondary outcome(s),D2 test of attention,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,German grade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131758,Tarp (2016),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131629,Vazou (2017),['Other outcome'],Secondary outcome(s),Math Performance,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math competence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131688,Williams (1968),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Reading Achievement (Combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131673,Yin (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Cognitive Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52131431,Zervas (1991),['Other outcome'],Secondary outcome(s),Mental Test (Correct response)- Trained vs control,['Toolkit primary outcome'],Primary outcome,Mental Test (Correct response)-Untrained vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
