id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
41425840,Menzies (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,3rd Cohort Reading Outcome Y4/5,['Other outcome'],Secondary outcome(s),2nd Cohort Reading Outcome Y4/5/6,['Other outcome'],Secondary outcome(s),1st Cohort Reading Comprehension Y5/6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117150,Mitchell (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT-9 Reading Comprehension (Means/SDs),['Mathematics primary outcome'],Primary outcome,SAT-9 Maths (Means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117264,Molina (2008),['Toolkit primary outcome'],Primary outcome,Academic achievement grades - extended school time,['Other outcome'],Secondary outcome(s),Academic achievement passing grades - extended school time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117289,Mooney (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Reading Tests - Comprehension Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117359,Morris (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Accuracy (overall),['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling (Correct Score),['Other outcome'],Secondary outcome(s),Word recognition (untimed),['Other outcome'],Secondary outcome(s),Spelling (qualitative score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117214,Morrison (2000),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths (f-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117215,Neufeld (1995),"['Toolkit primary outcome', 'Other outcome']",,Locus of control (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117154,Paloczy (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TAAS Reading Achievement  (ANOVA),['Mathematics primary outcome'],Primary outcome,TAAS Math Achievement (ANOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117157,Powers (1974),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,STEP Reading Achievement (Post-test Adjusted Mean and Unadjusted SDs),['Other outcome'],Secondary outcome(s),STEP Math (Adjusted means and unadjusted SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117291,Prenovost (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Spring 2000 Stanford Achievement Test (SAT-9) Reading test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117178,Reisner (2004),['Other outcome'],Secondary outcome(s),Standardised maths scores_extending school time,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Standardised maths scores-extending school time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117295,Riley (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths Achievment (t-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
