id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
45336718,Bell (1959) 1_2,1959,['Setting or streaming'],NA,['Yes'],NA,I took the first testing as pre-test (although I am not sure this is right as i have coded the Bell (1957) 1_1 as another study with the first testing as outcome!,,"['Page 70:\n[¬s]""the homogeneous group was\nmade up of 30 pupils.[¬e]""']",30,,"['Page 98:\n[¬s]""7.9[¬e]""']",7.9,,"['Page 98:\n[¬s]""1.2[¬e]""']",1.2,,"['Page 98:\n[¬s]""10.6[¬e]""']",10.6,,"['Page 98:\n[¬s]""0.6[¬e]""']",0.6,,NA,NA,,NA,NA,,NA,NA,,"['Page 70:\n[¬s]""In this study the heterogeneous\ngroup was made up of 30 pupils[¬e]""']",30,,"['Page 98:\n[¬s]""8.5[¬e]""']",8.5,,"['Page 98:\n[¬s]""0.9[¬e]""']",0.9,,"['Page 98:\n[¬s]""9.9[¬e]""']",9.9,,"['Page 98:\n[¬s]""1.2[¬e]""']",1.2,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642379,Bent (1969),1969,['Setting or streaming'],NA,['Yes'],NA,"in groups of cohorts  1964-65 1965-66 see excel speadsheet Numbers for sample here are taken from Table 5.2 and are different than the total eg. program and comparison, eg. public comparison = 86, is it the same as the treatment, as in highlighted section?",,NA,NA,,NA,266.267 ,,NA,12.670 ,,NA,291.899 ,,NA,14.508 ,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,263.360 ,,NA,11.829 ,,NA,289.948 ,,NA,289.948 ,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,"Y8 results are taken as the main outcome, not as follow up",
40642380,Berkun (1966),1966,['Setting or streaming'],NA,['Yes'],NA,NA,,"['Page 3:\n[¬s]""441[¬e]""']",441,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""6.7[¬e]""']",6.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""657[¬e]""']",657,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""6.3[¬e]""']",6.3,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
40642381,Bicak (1962) 1_1,1962,['Setting or streaming'],NA,['No'],NA,NA,,NA,27,,NA,2.28,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40397376,Breidenstine (1936),1936,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40397363,Burris (2006),2006,['Setting or streaming'],NA,['Yes'],NA,NA,,"['Page 10:\n[¬s]""508 post-universal-acceleration participants[¬e]""']",508,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""477 pre-universal-\nacceleration[¬e]""']",477,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40642386,Campbell (1965),1965,['Setting or streaming'],NA,['Yes'],NA,Arithmetic Achievement,,"['Page 58:\n[¬s]"" 117[¬e]""']",117,,"['Page 58:\n[¬s]"" 6.529[¬e]""']",6.529,,"['Page 58:\n[¬s]"" .9775[¬e]""']",0.9775,,"['Page 58:\n[¬s]"" 7.358[¬e]""']",7.358,,"['Page 58:\n[¬s]""1.410 [¬e]""']",1.410,,"['Page 58:\n[¬s]"" .829[¬e]""']",0.829,,NA,NA,,NA,NA,,"['Page 53:\n[¬s]""Control 119[¬e]""', 'Page 58:\n[¬s]"" 118[¬e]""']",118,,"['Page 58:\n[¬s]"" 6.527[¬e]""']",6.527,,"['Page 58:\n[¬s]"" .8550[¬e]""']",0.8550,,"['Page 58:\n[¬s]"" 7.539[¬e]""']",7.539,,"['Page 58:\n[¬s]""1.113 [¬e]""']",1.113,,"['Page 58:\n[¬s]""1.012[¬e]""']",1.012,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
40397364,Cartwright (1972) 1_1,1972,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
45336722,Cartwright (1972) 1_2,1972,['Setting or streaming'],NA,['Yes'],NA,MAT Reading,,"['Page 5:\n[¬s]""Homoge\xad neous (N=29)[¬e]""']",29,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""16.4[¬e]""']",16.4,,"['Page 5:\n[¬s]""8.6[¬e]""']",8.6,,NA,NA,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""Hetero\xad geneous (N=32)[¬e]""']",32,,NA,NA,,NA,NA,,"['Page 5:\n[¬s]""20.8[¬e]""']",20.8,,"['Page 5:\n[¬s]""10.9[¬e]""']",10.9,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
45336723,Cartwright (1972) 1_3,1972,['Setting or streaming'],NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
