id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht_t_sd_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
74069951,Dean (1990),1990,['Peer tutoring'],NA,NA,['Yes'],NA,NA,,NA,16,,"['Page 4:\n[¬s]""19.3[¬e]""']",19.3,,NA,5.43,,NA,85.8,,NA,18.36,,NA,NA,,NA,NA,,NA,NA,,NA,16,,"['Page 4:\n[¬s]""19.9[¬e]""']",19.9,,NA,5.25,,NA,74.9,,NA,17.72,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069952,Dill (2000),2000,['Peer tutoring'],NA,['MT_2023 (in progress)'],['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069953,Ding (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],NA,NA,,"['Page 16:\n[¬s]""32[¬e]""']",32,,NA,72.94,,NA,9.71,,NA,78.06,,NA,10.07,,NA,NA,,NA,NA,,NA,NA,,NA,32,,NA,73.4,,NA,10.09,,NA,73.09,,NA,9.74,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
74069954,DuPaul (1998),1998,['Peer tutoring'],NA,['MT_2023 (in progress)'],['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069956,Ensergueix (2011) 1_1,2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],NA,NA,,"['Page 13:\n[¬s]""24[¬e]""']",24,,"['Page 13:\n[¬s]""77.83[¬e]""']",77.83,,NA,10.29,,NA,112.33,,NA,9.43,,NA,NA,,NA,NA,,NA,NA,,NA,24,,"['Page 13:\n[¬s]""77.58[¬e]""']",77.58,,NA,11.73,,NA,80.88,,NA,11.89,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
74069957,Ensergueix (2011) 1_2,2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],NA,NA,,NA,24,,"['Page 13:\n[¬s]""179.88[¬e]""']",79.88,,NA,15,,NA,81,,NA,18.07,,NA,NA,,NA,NA,,NA,NA,,NA,24,,"['Page 13:\n[¬s]""77.58[¬e]""']",77.58,,NA,11.73,,NA,80.88,,NA,11.89,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
74069958,Flores (2016),2016,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],NA,NA,,"['Page 7:\n[¬s]""173[¬e]""']",173,,"['Page 7:\n[¬s]""42.20[¬e]""']",42.2,,NA,25.39,,NA,52.04,,NA,25.39,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""136[¬e]""']",136,,NA,53.15,,NA,23.32,,NA,56.88,,NA,23.32,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
74069960,Greene (2018),2018,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],NA,NA,,NA,NA,,NA,97.20,,NA,11.20,,NA,103.67,,NA,9.18,,NA,NA,,NA,NA,,NA,NA,,NA,14,,NA,98,,NA,9.66,,NA,96.36,,NA,9.10,,NA,NA,,NA,NA,,NA,NA,,NA,12,,NA,102.08,,NA,10.14,,NA,103.08,,NA,13.91,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069961,Greenwood (1991),1991,['Peer tutoring'],NA,['MT_2023 (in progress)'],['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069962,Gyanani (1995),1995,['Peer tutoring'],NA,['MT_2023 (in progress)'],['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
