id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
43099298,Jenkins (1994) ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement,['Writing and spelling primary outcome.'],Secondary outcome(s),Written Expression ,['Other outcome'],Secondary outcome(s),Spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099306,Johnson (1976),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,English language and arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099631,Johnson (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099311,Johnson (1993),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Total Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307308,Johnson-Glenberg (2000) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates Comprehension (RT vs Control),['Other outcome'],Secondary outcome(s),WRAT Word Recognition (RT vs Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090168,Johnson-Glenberg (2000) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie-V/V vs control ,['Other outcome'],Secondary outcome(s),WRAT - V/V vs control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099633,Kahl (1994),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Associative matching task,['Other outcome'],Secondary outcome(s),Free recall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307310,Kelly (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PAT - Read.Compr. (Gr1 vs control),['Other outcome'],Secondary outcome(s),PAT2: - Read.Compr. (Gr1 vs control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099637,Klingner (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie,['Other outcome'],Secondary outcome(s),Comprehension passages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099540,Klingner (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Reading test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307313,Klingner (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-MacGinitie Reading Tests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099330,Kosters (1990),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099131,Kramarski (2003),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Graph Interpretation Test,['Reading primary outcome'],Secondary outcome(s),Scores for fluency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294920,Kramarski (2009) FB,['Other outcome'],Secondary outcome(s),VERB Procedural Score - Mathematical transfer test,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,VERB Problem Solving Score - Mathematical transfer test,['Other outcome'],Secondary outcome(s),VERB Problem Posing score - Mathematical transfer test,['Other outcome'],Secondary outcome(s),VERB Mathematical explanations - Mathematical transfer test,['Other outcome'],Secondary outcome(s),VERB Solution Accuracy - Authentic mathematical inquiry task,['Other outcome'],Secondary outcome(s),VERB Explanation accuracy - Authentic mathematical inquiry task,['Other outcome'],Secondary outcome(s),VERB Explanation quality - Authentic mathematical inquiry task,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099452,Kumar (1998),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement Task ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099453,Lampe (1996),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Social Study Achievement Test (post test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269825,Laney (1996) CL,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Post test score on written understanding of economic concept,['Other outcome'],Secondary outcome(s),Post test score on oral understanding of economic concepts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099454,Law (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099333,Lazarowitz (1988),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Academic Achievement - cell learning,['Other outcome'],Secondary outcome(s),Academic achievement - plant biology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099565,Lazarowitz (1996),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Student Acedemic Achievement (Cell),['Other outcome'],Primary outcome,Student Academic Achievement (Plant),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269828,LeBel (1982) CL,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Immediate Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
