id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
37116212,Fuchs (2002),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC PALS Mathematics Achievement PALS Aligned-Peer Tutoring,['Other outcome'],Secondary outcome(s),REC PALS Mathematics Achievement PALS Unaligned -Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133906,Gardner (1973),['Other outcome'],Secondary outcome(s),TE_SUB Reading Achievement Tutees All-Peer Tutoring,['Other outcome'],Secondary outcome(s),TR_SUB Reading Achievement Tutors All- Peer Tutoring,['Other outcome'],Secondary outcome(s),TE Reading Achievement Tutees Grade 1-Peer Tutoring,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T-combined reading - PT,['Other outcome'],Secondary outcome(s),TE Reading Achievement Tutees Grade 2-Peer Tutoring,['Other outcome'],Secondary outcome(s),TR Reading Achievement Tutors Grade 3-Peer Tutoring,['Other outcome'],Secondary outcome(s),TR Reading Achievement Tutors Grade 4-Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093477,Ginsburg-Block (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Mathematics Computation-Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093478,Ginsburg-Block (1998),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Mathematics computation- Peer Tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics word problems-Peer Tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics Computation CBCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133911,Gmitter (1989),['Other outcome'],Secondary outcome(s),REC Mathematics Achievement-Peer Tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics facts-Peer tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics Facts test-4 weeks,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Stanford Achievement Test - Mathematics,['Other outcome'],Secondary outcome(s),REC Maths fact test,['Other outcome'],Secondary outcome(s),REC Mathematics Facts seven weeks-Peer Tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics Facts 9 weeks-Peer tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics Facts 11 weeks-Peer tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093559,Goyen (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TR_PRI Reading accuracy scores ANCOVA results (2 treatment v control),['Other outcome'],Secondary outcome(s),TR Gain scores (Trained tutors vs control),['Other outcome'],Secondary outcome(s),TR Gain scores (Untrained tutors vs control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093560,Greenwood (1989),['Mathematics primary outcome'],Secondary outcome(s),REC Maths NCE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC Reading NCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46844854,Greenwood (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T Reading Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133917,Gregg (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TR_PRI Reading comprehension posttest comparison,['Other outcome'],Secondary outcome(s),TR Reading comprehension gain,['Other outcome'],Secondary outcome(s),TR Reading fluency posttest comparison,['Other outcome'],Secondary outcome(s),TR Reading fluency gain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133918,Gudbrandsen (2005) PT,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TR_PRI Maze scores ,['Other outcome'],Secondary outcome(s),TR WPM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133919,Hannah (2008),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI Mathematics Achievement Scores:Post-test t-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116213,Hardegree (2012),['Other outcome'],Secondary outcome(s),TE Pass/fail rate Integrated Algebra tutees,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI Integrated algebra post test interim tutees,['Other outcome'],Secondary outcome(s),TE Pass/fail rate Integrated Algebra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093480,Heller (1992),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Standardized computation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133921,Hilger (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI STAR Reading Test,['Other outcome'],Secondary outcome(s),TE Gain scores - STAR Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46844858,Hugger (2014),['Other outcome'],Secondary outcome(s),T&T M-COMP,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T M-COMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133923,Inglis (2002),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TR_PRI Word Problems subtest from Canadian Test of Basic Skills (CTBS) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46844859,Ivory (2007),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI CRCT mathematics subtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116224,Jackson (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC Reading Comprehension All-Peer Tutoring,['Other outcome'],Secondary outcome(s),REC Reading Comprehension ESL-Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093509,Jacobson (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TR_PRI Reading Comprehension Tutors- Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294914,Jenkins (1991) PT,['Other outcome'],Secondary outcome(s),TE Reading Comprehension remedial tutored-Peer Tutoring,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Gates MacGintie reading comprehension NCEs,['Other outcome'],Secondary outcome(s),TE Passage reading test CIRC group,['Other outcome'],Secondary outcome(s),TE (Remedial) Passage Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269820,Judith (1988) PT,['Other outcome'],Secondary outcome(s),TR_SUB Reading comprehension,['Other outcome'],Secondary outcome(s),TE_SUB Reading comprehension,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T_ Reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093568,Kahl (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC 60-day associative matching,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116222,Karagiannakis (2008),['Writing and spelling primary outcome.'],Secondary outcome(s),REC Spelling Achievement- Peer Tutoring,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Mathematics Achievement- Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093356,Lamport (1982),['Other outcome'],Secondary outcome(s),TR_SUB SDRT (Tutors) - Reading Comprehension ,['Other outcome'],Secondary outcome(s),TE_SUB SDRT (Tutees) - Reading Comprehension,['Other outcome'],Secondary outcome(s),TR SDRT (Tutors) - Phonetic Analysis,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T_ SDRT - Reading Comprehension,['Other outcome'],Secondary outcome(s),T&T SDRT  - Phonetic Analysis,['Other outcome'],Secondary outcome(s),T&T SDRT  - Auditory Vocabulary),['Other outcome'],Secondary outcome(s),TE SDRT (Tutees) - Phonetic Analysis ,['Other outcome'],Secondary outcome(s),TR SDRT (Tutors) - Auditory Vocabulary,['Other outcome'],Secondary outcome(s),TE SDRT (Tutees) - Auditory Vocabulary),NA,NA,NA,NA,NA,NA
46844861,Lazarus (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI Mathematics Tests (Post test)- Peer vs Control,['Other outcome'],Secondary outcome(s),TE Mathematics Test - Peer vs Collaborative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296633,Lloyd (2015),['Other outcome'],Secondary outcome(s),TE_SUB NGRT Overall Reading,['Other outcome'],Secondary outcome(s),TR_SUB NGRT Overall Reading,['Other outcome'],SES/FSM outcome,TE NGRT Overall reading  FSM,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T NGRT Overall Reading,['Other outcome'],SES/FSM outcome,T&T NGRT Overall Reading-fsm,['Other outcome'],SES/FSM outcome,TR NGRT Overall reading FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
