id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
38296659,Patel (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HGRT - full sample,['Other outcome'],SES/FSM outcome,HGRT - FSM sample,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671611,Ratcliff (2009),['Other outcome'],Secondary outcome(s),Nonsense Word Fluency (NWF),['Other outcome'],Secondary outcome(s),Phoneme Segmentation Fluency,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,G3 Reading 2007 (iLEAP ELA),['Other outcome'],Secondary outcome(s),G4 Reading 2007 (iLEAP ELA),['Other outcome'],Secondary outcome(s),Oral Reading Fluency (ORF),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671612,Roberts (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WIAT-II UK WRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40398944,Roy (2019),['Other outcome'],Primary outcome,Raw means - Hodder Group Reading Test (HGRT),['Other outcome'],SES/FSM outcome,FSM Only - Hodder Group Reading Test (HGRT),['Other outcome'],Secondary outcome(s),SSRT - Comprehension Sub-test,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Effect size - HGRT (Table 10),['Other outcome'],Secondary outcome(s),SSRT - Reading Accuracy Sub-test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296668,Rutt (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Basic Number Screening Test - Catch up TA group,['Other outcome'],Primary outcome,Basic Number Screening Test - TA time equivalent,['Other outcome'],SES/FSM outcome,Basic Number Screening Test - FSM Outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296667,Rutt (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT - Full Sample,['Other outcome'],SES/FSM outcome,NGRT - FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099855,Ryder (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Neale comprehension raw score,['Other outcome'],Secondary outcome(s),Neale accuracy raw score,['Other outcome'],Secondary outcome(s),Burt raw score,['Other outcome'],Secondary outcome(s),Phoneme awareness total score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099897,Savage (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading All interventions v control,['Other outcome'],Secondary outcome(s),Letter-sound knowledge All interventions v control,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling All interventions v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296671,See (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,General Maths - CEM InCAS Module,['Other outcome'],Secondary outcome(s),Mental Maths - CEM InCAS Subscale,['Other outcome'],SES/FSM outcome,FSM - General Maths - CEM InCAS Module,['Other outcome'],SES/FSM outcome,FSM - Mental Maths - CEM InCAS Subscale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296672,Sheard (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT reading comprehension (TAs) ,['Other outcome'],SES/FSM outcome,FSM Teaching Assistants - Reading Comprehension NGRT,['Writing and spelling primary outcome.'],Secondary outcome(s),Teaching Assistants - Spelling SWST,['Other outcome'],SES/FSM outcome,FSM Teaching Assistants - Spelling SWST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
