id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,cl_approach_spec,cl_grp_size,cl_collab_kind,cl_stud_collab,cl_extr_rewards,cl_what_rewards,cl_comp_elem,cl_teacher_role_info,cl_pup_feedback,cl_pup_feedback_who
43099658,Okebukola (1985) 1_1,1985,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.1412,0.14,['Post-test unadjusted (select one from this group)'],Science achievement,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.1412,0.14,NA,NA,NA,238  ,6,NA,['Secondary/High school'],"['12', '13']",NA,NA,['Nigeria'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],5 ,NA,NA,['Toolkit: Collaborative learning'],['Other (please specify)'],['5'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['No'],NA,['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
49106837,Okebukola (1985) 1_2,1985,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.5178,0.1465,['Post-test unadjusted (select one from this group)'],Science achievement,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.5178,0.1465,NA,NA,NA,241,6,NA,['Secondary/High school'],"['12', '13']",NA,NA,['Nigeria'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],5 ,NA,NA,['Toolkit: Collaborative learning'],['Aronson: JIGSAW groups or Home/Expert groups'],['5'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['No'],NA,['No'],['No'],['No'],NA
49106838,Okebukola (1985) 1_3,1985,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",2.3612,0.1684,['Post-test unadjusted (select one from this group)'],Science achievement,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.3612,0.1684,NA,NA,NA,241 ,6,NA,['Secondary/High school'],"['12', '13']",NA,NA,['Nigeria'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],5 ,NA,NA,['Toolkit: Collaborative learning'],['Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)'],['5'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['No'],NA,['Yes (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],NA
49106839,Okebukola (1985) 1_4,1985,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",2.6138,0.1765,['Post-test unadjusted (select one from this group)'],Science achievement,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.6138,0.1765,NA,NA,NA,240,6,NA,['Secondary/High school'],"['12', '13']",NA,NA,['Nigeria'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],5,NA,NA,['Toolkit: Collaborative learning'],['Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)'],['5'],"['Peer collaboration during the tasks or activities, BUT with an individual outcome']",['No'],['Yes (Please highlight the relevant text.)'],['Group rewards for individual performance? (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099657,Okebukola (1986),1986,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",1.4355,0.1505,['Post-test unadjusted (select one from this group)'],Chemistry Achievement Test,With business as usual,['Sample: All'],Science,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",1.4355,0.1505,NA,NA,NA,223,2,NA,['Secondary/High school'],"['13', '14']",NA,NA,['Nigeria'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",6,NA,NA,['Toolkit: Collaborative learning'],['Other (please specify)'],['5'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['No'],['Group rewards for group performance? (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099656,Okebukola (1986) 1_1,1986,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",2.8934,0.3553,['Post-test adjusted for baseline attainment'],Science Achievement Test,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.8934,0.3553,NA,NA,NA,77,1,2,['Middle school'],"['11', '12']",NA,NA,['Nigeria'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",24,1,45,['Toolkit: Collaborative learning'],['No research basis mentioned'],['4'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['Yes (Please highlight the relevant text.)'],['Group rewards for group performance? (Please highlight the relevant text.)'],['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
46325695,Okebukola (1986) 1_2,1986,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Science primary outcome']",2.8163,0.3449,NA,Science Achievement Test ,With business as usual,NA,Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",2.8163,0.3449,NA,NA,NA,69,1,NA,['Middle school'],"['12', '13']",NA,NA,['Nigeria'],['Cluster RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],26,NA,NA,['Toolkit: Collaborative learning'],['No research basis mentioned'],['4'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['Yes (Please highlight the relevant text.)'],['Group rewards for group performance? (Please highlight the relevant text.)'],['Yes (Please highlight the relevant text.)'],['No'],['No'],NA
47269860,Olson (1990) CL,1990,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",1.5243,0.3348,['Post-test adjusted for baseline attainment'],VERB PEER Writing Quality,With active control,['Sample: All'],Literacy  writing,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,2,2,['Primary/elementary school'],['11'],NA,NA,['USA'],['Prospective QED'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",4,2,60,['Toolkit: Collaborative learning'],"['Other (please specify)', 'Slavin: Student Team Learning (STL )or Student-Teams-Achievement Divisions (STAD) or Team Games Tournament (TGT) or Team Assisted Individualisation (TAI)']",['2'],"['Peer collaboration during the tasks or activities, BUT with an individual outcome']",['No'],['No'],NA,['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099354,Ortiz (1996),1996,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Other outcome']",0.6523,0.421,['Post-test unadjusted (select one from this group)'],Daily Quizzes - Collaborative Learning,With business as usual,['Sample: All'],Social Studies,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,1,NA,['Primary/elementary school'],"['10', '11']",NA,NA,['USA'],['Individual RCT'],"['Other (Explain in notes)', 'Paired learning']",['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'External teachers']",5,5,45 ,['Toolkit: Collaborative learning'],['Other (please specify)'],"['2', '3']","['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['Yes (Please highlight the relevant text.)'],['Group rewards for individual performance? (Please highlight the relevant text.)'],['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
43099132,Ozsoy (2004),2004,['Journal article'],['Collaborative learning'],"['Toolkit primary outcome', 'Mathematics primary outcome']",3.5115,0.388,['Post-test unadjusted (select one from this group)'],Mathematics Test - Collaborative Learning,With business as usual,['Sample: All'],Mathematics,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",3.5115,0.388,NA,NA,NA,NA,NA,NA,70,1,2,['Primary/elementary school'],"['12', '13']",NA,NA,['Turkey'],['Cluster RCT'],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],5 ,NA,NA,['Toolkit: Collaborative learning'],['Other (please specify)'],['4'],"['Peer collaboration on the task or during the activities, AND with a joint collaborative outcome AND with the same groups throughout']",['No'],['Yes (Please highlight the relevant text.)'],['Individual rewards for group performance?  (Please highlight the relevant text.)'],['No'],['Yes (Please highlight the relevant text.)'],['No'],NA
