id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6
43100834,Smith (1974) RedC,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,(-10) Iowa Test of Language Development,NA,Secondary outcome(s),(-10) Composition/writing (Diederich scale),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100836,Spitzer (1954),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Reading Comprehension Grade 3,NA,Secondary outcome(s),(-10) Study Skills Grade 3,NA,Secondary outcome(s),(-10) Language Skills Grade 3,NA,Secondary outcome(s),(-10) Arithmetic Skills Grade 3,NA,NA,NA,NA,NA,NA
43100816,Thomas (1969) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,(-10) Watson-Glaser Critical Thinking Test (Small v intermediate),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106844,Thomas (1969) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,(-10) Watson-Glaser Critical Thinking Test (Intermediate v large),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100854,Wagner (1981),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Metropolitan Achievement test: Reading ,['Other outcome'],Secondary outcome(s),(-10) Spache_Reading,['Other outcome'],Secondary outcome(s),(-10) Nonsense word,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100841,Wasson (1929) 1_1,['Other outcome'],Secondary outcome(s),(-15) Average Achievement Scores (1st marking period),['Other outcome'],Secondary outcome(s),(-15) Average achievement score (2nd marking period),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,(-15) Average achievement score (3rd marking period),NA,NA,NA,NA,NA,NA,NA,NA,NA
46325713,Wasson (1929) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-15) Achievement Average in English,['Science primary outcome'],Primary outcome,(-15) Achievement average in general science,['Mathematics primary outcome'],Secondary outcome(s),(-15) Average achievement score in mathematics,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100855,Wilsberg (1968),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-8) Gates-MacGinitie Comprehension,['Other outcome'],Secondary outcome(s),(-8) Gates-MacGinitie Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100949,Wilsberg (1968),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-8) Gates: Comprehension,['Other outcome'],Secondary outcome(s),(-8) Gates: Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100856,Word (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-10) Stanford Achievement Test: Reading ,['Mathematics primary outcome'],Secondary outcome(s),(-10) Stanford Achievement Test: Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106846,Wright (1977) 1_2,['Other outcome'],Secondary outcome(s),(-15) Canadian Test of Basic Skills (Vocabulary),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-15) Canadian Test of Basic Skills (Reading),['Mathematics primary outcome'],Secondary outcome(s),(-15) Canadian Test of Basic Skills (Math Problem Solving),NA,NA,NA,NA,NA,NA,NA,NA,NA
49106847,Wright (1977) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,(-20) Canadian Test of Basic Skills (Vocabulary),['Other outcome'],Secondary outcome(s),(-20) Canadian Test of Basic Skills (Reading),['Mathematics primary outcome'],Secondary outcome(s),Canadian Test of Basic Skills (Problem Solving) /-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
