id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
49048436,Schwankl (2013),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Posttest,['Other outcome'],Secondary outcome(s),Total score on quizzes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091561,Smith (2015),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Unit Exam Scores,['Other outcome'],Secondary outcome(s),MCAP Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091573,Spilka (2014),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048455,Tamayo (1992),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091562,Tsai (2015),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Writing Grades,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091544,Tupesis (1972),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Post test Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49048483,Van Voorhis (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths Achievement,['Other outcome'],Secondary outcome(s),Maths Achievement (2yrs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091574,Wiginton (2013) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Self-Efficacy Scale-Revised (MSES-R) posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57768747,Wiginton (2013) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,QualityCore EOC Maths assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48091563,Yousefzadeh (2015),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math test,['Other outcome'],Primary outcome,Science test,['Other outcome'],Secondary outcome(s),Arabic Test,['Other outcome'],Secondary outcome(s),Geography test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
